team_name,wins,losses,Overall
Indiana Pacers,61,21,61-21
Detroit Pistons,54,28,54-28
New Jersey Nets,47,35,47-35
Miami Heat,42,40,42-40
Milwaukee Bucks,41,41,41-41
New York Knicks,39,43,39-43
Boston Celtics,36,46,36-46
Cleveland Cavaliers,35,47,35-47
Philadelphia 76ers,33,49,33-49
Toronto Raptors,33,49,33-49
Atlanta Hawks,28,54,28-54
Washington Wizards,25,57,25-57
Chicago Bulls,23,59,23-59
Orlando Magic,21,61,21-61
