team_name,wins,losses,Overall
San Antonio Spurs,63,19,63-19
Dallas Mavericks,60,22,60-22
Phoenix Suns,54,28,54-28
Memphis Grizzlies,49,33,49-33
Los Angeles Clippers,47,35,47-35
Los Angeles Lakers,45,37,45-37
Denver Nuggets,44,38,44-38
Sacramento Kings,44,38,44-38
Utah Jazz,41,41,41-41
Seattle SuperSonics,35,47,35-47
Golden State Warriors,34,48,34-48
Houston Rockets,34,48,34-48
Minnesota Timberwolves,33,49,33-49
Portland Trail Blazers,21,61,21-61
