team_name,wins,losses,Overall
Boston Celtics,64,18,64-18
New York Knicks,50,32,50-32
Milwaukee Bucks,49,33,49-33
Cleveland Cavaliers,48,34,48-34
Indiana Pacers,47,35,47-35
Orlando Magic,47,35,47-35
Philadelphia 76ers,47,35,47-35
Miami Heat,46,36,46-36
Chicago Bulls,39,43,39-43
Atlanta Hawks,36,46,36-46
Brooklyn Nets,32,50,32-50
Toronto Raptors,25,57,25-57
Charlotte Hornets,21,61,21-61
Washington Wizards,15,67,15-67
Detroit Pistons,14,68,14-68
