team_name,wins,losses,Overall
Los Angeles Lakers,57,25,57-25
Dallas Mavericks,55,27,55-27
Phoenix Suns,54,28,54-28
Denver Nuggets,53,29,53-29
Utah Jazz,53,29,53-29
Oklahoma City Thunder,50,32,50-32
Portland Trail Blazers,50,32,50-32
San Antonio Spurs,50,32,50-32
Houston Rockets,42,40,42-40
Memphis Grizzlies,40,42,40-42
New Orleans Hornets,37,45,37-45
Los Angeles Clippers,29,53,29-53
Golden State Warriors,26,56,26-56
Sacramento Kings,25,57,25-57
Minnesota Timberwolves,15,67,15-67
