team_name,wins,losses,Overall
San Antonio Spurs,61,21,61-21
Dallas Mavericks,57,25,57-25
Los Angeles Lakers,57,25,57-25
Oklahoma City Thunder,55,27,55-27
Denver Nuggets,50,32,50-32
Portland Trail Blazers,48,34,48-34
Memphis Grizzlies,46,36,46-36
New Orleans Hornets,46,36,46-36
Houston Rockets,43,39,43-39
Phoenix Suns,40,42,40-42
Utah Jazz,39,43,39-43
Golden State Warriors,36,46,36-46
Los Angeles Clippers,32,50,32-50
Sacramento Kings,24,58,24-58
Minnesota Timberwolves,17,65,17-65
