team_name,wins,losses,Overall
Cleveland Cavaliers,66,16,66-16
Boston Celtics,62,20,62-20
Orlando Magic,59,23,59-23
Atlanta Hawks,47,35,47-35
Miami Heat,43,39,43-39
Chicago Bulls,41,41,41-41
Philadelphia 76ers,41,41,41-41
Detroit Pistons,39,43,39-43
Indiana Pacers,36,46,36-46
Charlotte Bobcats,35,47,35-47
Milwaukee Bucks,34,48,34-48
New Jersey Nets,34,48,34-48
Toronto Raptors,33,49,33-49
New York Knicks,32,50,32-50
Washington Wizards,19,63,19-63
