team_name,wins,losses,Overall
Utah Jazz,52,20,52-20
Phoenix Suns,51,21,51-21
Denver Nuggets,47,25,47-25
Los Angeles Clippers,47,25,47-25
Dallas Mavericks,42,30,42-30
Los Angeles Lakers,42,30,42-30
Portland Trail Blazers,42,30,42-30
Golden State Warriors,39,33,39-33
Memphis Grizzlies,38,34,38-34
San Antonio Spurs,33,39,33-39
New Orleans Pelicans,31,41,31-41
Sacramento Kings,31,41,31-41
Minnesota Timberwolves,23,49,23-49
Oklahoma City Thunder,22,50,22-50
Houston Rockets,17,55,17-55
