team_name,wins,losses,Overall
Golden State Warriors,57,25,57-25
Denver Nuggets,54,28,54-28
Houston Rockets,53,29,53-29
Portland Trail Blazers,53,29,53-29
Utah Jazz,50,32,50-32
Oklahoma City Thunder,49,33,49-33
Los Angeles Clippers,48,34,48-34
San Antonio Spurs,48,34,48-34
Sacramento Kings,39,43,39-43
Los Angeles Lakers,37,45,37-45
Minnesota Timberwolves,36,46,36-46
Dallas Mavericks,33,49,33-49
Memphis Grizzlies,33,49,33-49
New Orleans Pelicans,33,49,33-49
Phoenix Suns,19,63,19-63
