team_name,wins,losses,Overall
Philadelphia 76ers,49,23,49-23
Brooklyn Nets,48,24,48-24
Milwaukee Bucks,46,26,46-26
Atlanta Hawks,41,31,41-31
New York Knicks,41,31,41-31
Miami Heat,40,32,40-32
Boston Celtics,36,36,36-36
Washington Wizards,34,38,34-38
Indiana Pacers,34,38,34-38
Charlotte Hornets,33,39,33-39
Chicago Bulls,31,41,31-41
Toronto Raptors,27,45,27-45
Cleveland Cavaliers,22,50,22-50
Orlando Magic,21,51,21-51
Detroit Pistons,20,52,20-52
