team_name,wins,losses,Overall
San Antonio Spurs,58,24,58-24
Los Angeles Lakers,56,26,56-26
Sacramento Kings,55,27,55-27
Dallas Mavericks,53,29,53-29
Utah Jazz,53,29,53-29
Phoenix Suns,51,31,51-31
Portland Trail Blazers,50,32,50-32
Minnesota Timberwolves,47,35,47-35
Houston Rockets,45,37,45-37
Seattle SuperSonics,44,38,44-38
Denver Nuggets,40,42,40-42
Los Angeles Clippers,31,51,31-51
Vancouver Grizzlies,23,59,23-59
Golden State Warriors,17,65,17-65
