team_name,wins,losses,Overall
Milwaukee Bucks,58,24,58-24
Boston Celtics,57,25,57-25
Philadelphia 76ers,54,28,54-28
Cleveland Cavaliers,51,31,51-31
New York Knicks,47,35,47-35
Brooklyn Nets,45,37,45-37
Miami Heat,44,38,44-38
Atlanta Hawks,41,41,41-41
Toronto Raptors,41,41,41-41
Chicago Bulls,40,42,40-42
Indiana Pacers,35,47,35-47
Washington Wizards,35,47,35-47
Orlando Magic,34,48,34-48
Charlotte Hornets,27,55,27-55
Detroit Pistons,17,65,17-65
