team_name,wins,losses,Overall
Dallas Mavericks,67,15,67-15
Phoenix Suns,61,21,61-21
San Antonio Spurs,58,24,58-24
Houston Rockets,52,30,52-30
Utah Jazz,51,31,51-31
Denver Nuggets,45,37,45-37
Golden State Warriors,42,40,42-40
Los Angeles Lakers,42,40,42-40
Los Angeles Clippers,40,42,40-42
Sacramento Kings,33,49,33-49
Minnesota Timberwolves,32,50,32-50
Portland Trail Blazers,32,50,32-50
Seattle SuperSonics,31,51,31-51
Memphis Grizzlies,22,60,22-60
