team_name,wins,losses,Overall
San Antonio Spurs,50,16,50-16
Oklahoma City Thunder,47,19,47-19
Los Angeles Lakers,41,25,41-25
Memphis Grizzlies,41,25,41-25
Los Angeles Clippers,40,26,40-26
Denver Nuggets,38,28,38-28
Dallas Mavericks,36,30,36-30
Utah Jazz,36,30,36-30
Houston Rockets,34,32,34-32
Phoenix Suns,33,33,33-33
Portland Trail Blazers,28,38,28-38
Minnesota Timberwolves,26,40,26-40
Golden State Warriors,23,43,23-43
Sacramento Kings,22,44,22-44
New Orleans Hornets,21,45,21-45
