team_name,wins,losses,Overall
Boston Celtics,66,16,66-16
Detroit Pistons,59,23,59-23
Orlando Magic,52,30,52-30
Cleveland Cavaliers,45,37,45-37
Washington Wizards,43,39,43-39
Toronto Raptors,41,41,41-41
Philadelphia 76ers,40,42,40-42
Atlanta Hawks,37,45,37-45
Indiana Pacers,36,46,36-46
New Jersey Nets,34,48,34-48
Chicago Bulls,33,49,33-49
Charlotte Bobcats,32,50,32-50
Milwaukee Bucks,26,56,26-56
New York Knicks,23,59,23-59
Miami Heat,15,67,15-67
