team_name,wins,losses,Overall
Phoenix Suns,62,20,62-20
San Antonio Spurs,59,23,59-23
Dallas Mavericks,58,24,58-24
Seattle SuperSonics,52,30,52-30
Houston Rockets,51,31,51-31
Sacramento Kings,50,32,50-32
Denver Nuggets,49,33,49-33
Memphis Grizzlies,45,37,45-37
Minnesota Timberwolves,44,38,44-38
Los Angeles Clippers,37,45,37-45
Golden State Warriors,34,48,34-48
Los Angeles Lakers,34,48,34-48
Portland Trail Blazers,27,55,27-55
Utah Jazz,26,56,26-56
New Orleans Hornets,18,64,18-64
