team_name,wins,losses,Overall
Los Angeles Lakers,52,19,52-19
Los Angeles Clippers,49,23,49-23
Denver Nuggets,46,27,46-27
Houston Rockets,44,28,44-28
Oklahoma City Thunder,44,28,44-28
Utah Jazz,44,28,44-28
Dallas Mavericks,43,32,43-32
Portland Trail Blazers,35,39,35-39
Memphis Grizzlies,34,39,34-39
Phoenix Suns,34,39,34-39
San Antonio Spurs,32,39,32-39
Sacramento Kings,31,41,31-41
New Orleans Pelicans,30,42,30-42
Minnesota Timberwolves,19,45,19-45
Golden State Warriors,15,50,15-50
