team_name,wins,losses,Overall
Detroit Pistons,50,32,50-32
New Jersey Nets,49,33,49-33
Indiana Pacers,48,34,48-34
Philadelphia 76ers,48,34,48-34
Boston Celtics,44,38,44-38
Milwaukee Bucks,42,40,42-40
Orlando Magic,42,40,42-40
New York Knicks,37,45,37-45
Washington Wizards,37,45,37-45
Atlanta Hawks,35,47,35-47
Chicago Bulls,30,52,30-52
Miami Heat,25,57,25-57
Toronto Raptors,24,58,24-58
Cleveland Cavaliers,17,65,17-65
