team_name,wins,losses,Overall
Indiana Pacers,56,26,56-26
Miami Heat,52,30,52-30
New York Knicks,50,32,50-32
Charlotte Hornets,49,33,49-33
Philadelphia 76ers,49,33,49-33
Toronto Raptors,45,37,45-37
Detroit Pistons,42,40,42-40
Milwaukee Bucks,42,40,42-40
Orlando Magic,41,41,41-41
Boston Celtics,35,47,35-47
Cleveland Cavaliers,32,50,32-50
New Jersey Nets,31,51,31-51
Washington Wizards,29,53,29-53
Atlanta Hawks,28,54,28-54
Chicago Bulls,17,65,17-65
