team_name,wins,losses,Overall
Phoenix Suns,64,18,64-18
Memphis Grizzlies,56,26,56-26
Golden State Warriors,53,29,53-29
Dallas Mavericks,52,30,52-30
Utah Jazz,49,33,49-33
Denver Nuggets,48,34,48-34
Minnesota Timberwolves,46,36,46-36
Los Angeles Clippers,42,40,42-40
New Orleans Pelicans,36,46,36-46
San Antonio Spurs,34,48,34-48
Los Angeles Lakers,33,49,33-49
Sacramento Kings,30,52,30-52
Portland Trail Blazers,27,55,27-55
Oklahoma City Thunder,24,58,24-58
Houston Rockets,20,62,20-62
