team_name,wins,losses,Overall
Cleveland Cavaliers,64,18,64-18
Boston Celtics,61,21,61-21
New York Knicks,51,31,51-31
Indiana Pacers,50,32,50-32
Milwaukee Bucks,48,34,48-34
Detroit Pistons,44,38,44-38
Orlando Magic,41,41,41-41
Atlanta Hawks,40,42,40-42
Chicago Bulls,39,43,39-43
Miami Heat,37,45,37-45
Toronto Raptors,30,52,30-52
Brooklyn Nets,26,56,26-56
Philadelphia 76ers,24,58,24-58
Charlotte Hornets,19,63,19-63
Washington Wizards,18,64,18-64
