team_name,wins,losses,Overall
Boston Celtics,53,29,53-29
Cleveland Cavaliers,51,31,51-31
Toronto Raptors,51,31,51-31
Washington Wizards,49,33,49-33
Atlanta Hawks,43,39,43-39
Indiana Pacers,42,40,42-40
Milwaukee Bucks,42,40,42-40
Chicago Bulls,41,41,41-41
Miami Heat,41,41,41-41
Detroit Pistons,37,45,37-45
Charlotte Hornets,36,46,36-46
New York Knicks,31,51,31-51
Orlando Magic,29,53,29-53
Philadelphia 76ers,28,54,28-54
Brooklyn Nets,20,62,20-62
