team_name,wins,losses,Overall
Oklahoma City Thunder,60,22,60-22
San Antonio Spurs,58,24,58-24
Denver Nuggets,57,25,57-25
Los Angeles Clippers,56,26,56-26
Memphis Grizzlies,56,26,56-26
Golden State Warriors,47,35,47-35
Houston Rockets,45,37,45-37
Los Angeles Lakers,45,37,45-37
Utah Jazz,43,39,43-39
Dallas Mavericks,41,41,41-41
Portland Trail Blazers,33,49,33-49
Minnesota Timberwolves,31,51,31-51
Sacramento Kings,28,54,28-54
New Orleans Hornets,27,55,27-55
Phoenix Suns,25,57,25-57
