team_name,wins,losses,Overall
Atlanta Hawks,60,22,60-22
Cleveland Cavaliers,53,29,53-29
Chicago Bulls,50,32,50-32
Toronto Raptors,49,33,49-33
Washington Wizards,46,36,46-36
Milwaukee Bucks,41,41,41-41
Boston Celtics,40,42,40-42
Brooklyn Nets,38,44,38-44
Indiana Pacers,38,44,38-44
Miami Heat,37,45,37-45
Charlotte Hornets,33,49,33-49
Detroit Pistons,32,50,32-50
Orlando Magic,25,57,25-57
Philadelphia 76ers,18,64,18-64
New York Knicks,17,65,17-65
