team_name,wins,losses,Overall
Milwaukee Bucks,60,22,60-22
Toronto Raptors,58,24,58-24
Philadelphia 76ers,51,31,51-31
Boston Celtics,49,33,49-33
Indiana Pacers,48,34,48-34
Brooklyn Nets,42,40,42-40
Orlando Magic,42,40,42-40
Detroit Pistons,41,41,41-41
Charlotte Hornets,39,43,39-43
Miami Heat,39,43,39-43
Washington Wizards,32,50,32-50
Atlanta Hawks,29,53,29-53
Chicago Bulls,22,60,22-60
Cleveland Cavaliers,19,63,19-63
New York Knicks,17,65,17-65
