team_name,wins,losses,Overall
Philadelphia 76ers,56,26,56-26
Milwaukee Bucks,52,30,52-30
Miami Heat,50,32,50-32
New York Knicks,48,34,48-34
Toronto Raptors,47,35,47-35
Charlotte Hornets,46,36,46-36
Orlando Magic,43,39,43-39
Indiana Pacers,41,41,41-41
Boston Celtics,36,46,36-46
Detroit Pistons,32,50,32-50
Cleveland Cavaliers,30,52,30-52
New Jersey Nets,26,56,26-56
Atlanta Hawks,25,57,25-57
Washington Wizards,19,63,19-63
Chicago Bulls,15,67,15-67
