team_name,wins,losses,Overall
Indiana Pacers,56,26,56-26
Miami Heat,54,28,54-28
Chicago Bulls,48,34,48-34
Toronto Raptors,48,34,48-34
Brooklyn Nets,44,38,44-38
Washington Wizards,44,38,44-38
Charlotte Bobcats,43,39,43-39
Atlanta Hawks,38,44,38-44
New York Knicks,37,45,37-45
Cleveland Cavaliers,33,49,33-49
Detroit Pistons,29,53,29-53
Boston Celtics,25,57,25-57
Orlando Magic,23,59,23-59
Philadelphia 76ers,19,63,19-63
Milwaukee Bucks,15,67,15-67
