team_name,wins,losses,Overall
Golden State Warriors,73,9,73-9
San Antonio Spurs,67,15,67-15
Oklahoma City Thunder,55,27,55-27
Los Angeles Clippers,53,29,53-29
Portland Trail Blazers,44,38,44-38
Dallas Mavericks,42,40,42-40
Memphis Grizzlies,42,40,42-40
Houston Rockets,41,41,41-41
Utah Jazz,40,42,40-42
Denver Nuggets,33,49,33-49
Sacramento Kings,33,49,33-49
New Orleans Pelicans,30,52,30-52
Minnesota Timberwolves,29,53,29-53
Phoenix Suns,23,59,23-59
Los Angeles Lakers,17,65,17-65
