team_name,wins,losses,Overall
Toronto Raptors,59,23,59-23
Boston Celtics,55,27,55-27
Philadelphia 76ers,52,30,52-30
Cleveland Cavaliers,50,32,50-32
Indiana Pacers,48,34,48-34
Miami Heat,44,38,44-38
Milwaukee Bucks,44,38,44-38
Washington Wizards,43,39,43-39
Detroit Pistons,39,43,39-43
Charlotte Hornets,36,46,36-46
New York Knicks,29,53,29-53
Brooklyn Nets,28,54,28-54
Chicago Bulls,27,55,27-55
Orlando Magic,25,57,25-57
Atlanta Hawks,24,58,24-58
