team_name,wins,losses,Overall
Los Angeles Lakers,67,15,67-15
Portland Trail Blazers,59,23,59-23
Utah Jazz,55,27,55-27
Phoenix Suns,53,29,53-29
San Antonio Spurs,53,29,53-29
Minnesota Timberwolves,50,32,50-32
Seattle SuperSonics,45,37,45-37
Sacramento Kings,44,38,44-38
Dallas Mavericks,40,42,40-42
Denver Nuggets,35,47,35-47
Houston Rockets,34,48,34-48
Vancouver Grizzlies,22,60,22-60
Golden State Warriors,19,63,19-63
Los Angeles Clippers,15,67,15-67
