team_name,wins,losses,Overall
New Jersey Nets,52,30,52-30
Detroit Pistons,50,32,50-32
Boston Celtics,49,33,49-33
Charlotte Hornets,44,38,44-38
Orlando Magic,44,38,44-38
Philadelphia 76ers,43,39,43-39
Indiana Pacers,42,40,42-40
Toronto Raptors,42,40,42-40
Milwaukee Bucks,41,41,41-41
Washington Wizards,37,45,37-45
Miami Heat,36,46,36-46
Atlanta Hawks,33,49,33-49
New York Knicks,30,52,30-52
Cleveland Cavaliers,29,53,29-53
Chicago Bulls,21,61,21-61
