team_name,wins,losses,Overall
Denver Nuggets,53,29,53-29
Memphis Grizzlies,51,31,51-31
Sacramento Kings,48,34,48-34
Phoenix Suns,45,37,45-37
Golden State Warriors,44,38,44-38
Los Angeles Clippers,44,38,44-38
Los Angeles Lakers,43,39,43-39
Minnesota Timberwolves,42,40,42-40
New Orleans Pelicans,42,40,42-40
Oklahoma City Thunder,40,42,40-42
Dallas Mavericks,38,44,38-44
Utah Jazz,37,45,37-45
Portland Trail Blazers,33,49,33-49
Houston Rockets,22,60,22-60
San Antonio Spurs,22,60,22-60
