team_name,wins,losses,Overall
Cleveland Cavaliers,61,21,61-21
Orlando Magic,59,23,59-23
Atlanta Hawks,53,29,53-29
Boston Celtics,50,32,50-32
Miami Heat,47,35,47-35
Milwaukee Bucks,46,36,46-36
Charlotte Bobcats,44,38,44-38
Chicago Bulls,41,41,41-41
Toronto Raptors,40,42,40-42
Indiana Pacers,32,50,32-50
New York Knicks,29,53,29-53
Detroit Pistons,27,55,27-55
Philadelphia 76ers,27,55,27-55
Washington Wizards,26,56,26-56
New Jersey Nets,12,70,12-70
