team_name,wins,losses,Overall
Miami Heat,59,23,59-23
Detroit Pistons,54,28,54-28
Chicago Bulls,47,35,47-35
Boston Celtics,45,37,45-37
Washington Wizards,45,37,45-37
Indiana Pacers,44,38,44-38
Philadelphia 76ers,43,39,43-39
New Jersey Nets,42,40,42-40
Cleveland Cavaliers,42,40,42-40
Orlando Magic,36,46,36-46
New York Knicks,33,49,33-49
Toronto Raptors,33,49,33-49
Milwaukee Bucks,30,52,30-52
Charlotte Bobcats,18,64,18-64
Atlanta Hawks,13,69,13-69
