team_name,wins,losses,Overall
Cleveland Cavaliers,57,25,57-25
Toronto Raptors,56,26,56-26
Atlanta Hawks,48,34,48-34
Boston Celtics,48,34,48-34
Charlotte Hornets,48,34,48-34
Miami Heat,48,34,48-34
Indiana Pacers,45,37,45-37
Detroit Pistons,44,38,44-38
Chicago Bulls,42,40,42-40
Washington Wizards,41,41,41-41
Orlando Magic,35,47,35-47
Milwaukee Bucks,33,49,33-49
New York Knicks,32,50,32-50
Brooklyn Nets,21,61,21-61
Philadelphia 76ers,10,72,10-72
