team_name,wins,losses,Overall
Detroit Pistons,64,18,64-18
Miami Heat,52,30,52-30
Cleveland Cavaliers,50,32,50-32
New Jersey Nets,49,33,49-33
Washington Wizards,42,40,42-40
Chicago Bulls,41,41,41-41
Indiana Pacers,41,41,41-41
Milwaukee Bucks,40,42,40-42
Philadelphia 76ers,38,44,38-44
Orlando Magic,36,46,36-46
Boston Celtics,33,49,33-49
Toronto Raptors,27,55,27-55
Atlanta Hawks,26,56,26-56
Charlotte Bobcats,26,56,26-56
New York Knicks,23,59,23-59
