team_name,wins,losses,Overall
Golden State Warriors,67,15,67-15
San Antonio Spurs,61,21,61-21
Houston Rockets,55,27,55-27
Los Angeles Clippers,51,31,51-31
Utah Jazz,51,31,51-31
Oklahoma City Thunder,47,35,47-35
Memphis Grizzlies,43,39,43-39
Portland Trail Blazers,41,41,41-41
Denver Nuggets,40,42,40-42
New Orleans Pelicans,34,48,34-48
Dallas Mavericks,33,49,33-49
Sacramento Kings,32,50,32-50
Minnesota Timberwolves,31,51,31-51
Los Angeles Lakers,26,56,26-56
Phoenix Suns,24,58,24-58
