team_name,wins,losses,Overall
Golden State Warriors,67,15,67-15
Houston Rockets,56,26,56-26
Los Angeles Clippers,56,26,56-26
Memphis Grizzlies,55,27,55-27
San Antonio Spurs,55,27,55-27
Portland Trail Blazers,51,31,51-31
Dallas Mavericks,50,32,50-32
New Orleans Pelicans,45,37,45-37
Oklahoma City Thunder,45,37,45-37
Phoenix Suns,39,43,39-43
Utah Jazz,38,44,38-44
Denver Nuggets,30,52,30-52
Sacramento Kings,29,53,29-53
Los Angeles Lakers,21,61,21-61
Minnesota Timberwolves,16,66,16-66
