team_name,wins,losses,Overall
San Antonio Spurs,62,20,62-20
Oklahoma City Thunder,59,23,59-23
Los Angeles Clippers,57,25,57-25
Houston Rockets,54,28,54-28
Portland Trail Blazers,54,28,54-28
Golden State Warriors,51,31,51-31
Memphis Grizzlies,50,32,50-32
Dallas Mavericks,49,33,49-33
Phoenix Suns,48,34,48-34
Minnesota Timberwolves,40,42,40-42
Denver Nuggets,36,46,36-46
New Orleans Pelicans,34,48,34-48
Sacramento Kings,28,54,28-54
Los Angeles Lakers,27,55,27-55
Utah Jazz,25,57,25-57
