team_name,wins,losses,Overall
Denver Nuggets,57,25,57-25
Oklahoma City Thunder,57,25,57-25
Minnesota Timberwolves,56,26,56-26
Los Angeles Clippers,51,31,51-31
Dallas Mavericks,50,32,50-32
New Orleans Pelicans,49,33,49-33
Phoenix Suns,49,33,49-33
Los Angeles Lakers,47,35,47-35
Golden State Warriors,46,36,46-36
Sacramento Kings,46,36,46-36
Houston Rockets,41,41,41-41
Utah Jazz,31,51,31-51
Memphis Grizzlies,27,55,27-55
San Antonio Spurs,22,60,22-60
Portland Trail Blazers,21,61,21-61
