team_name,wins,losses,Overall
Chicago Bulls,62,20,62-20
Miami Heat,58,24,58-24
Boston Celtics,56,26,56-26
Orlando Magic,52,30,52-30
Atlanta Hawks,44,38,44-38
New York Knicks,42,40,42-40
Philadelphia 76ers,41,41,41-41
Indiana Pacers,37,45,37-45
Milwaukee Bucks,35,47,35-47
Charlotte Bobcats,34,48,34-48
Detroit Pistons,30,52,30-52
New Jersey Nets,24,58,24-58
Washington Wizards,23,59,23-59
Toronto Raptors,22,60,22-60
Cleveland Cavaliers,19,63,19-63
