team_name,wins,losses,Overall
Oklahoma City Thunder,68,14,68-14
Houston Rockets,52,30,52-30
Los Angeles Lakers,50,32,50-32
Denver Nuggets,50,32,50-32
Los Angeles Clippers,50,32,50-32
Minnesota Timberwolves,49,33,49-33
Golden State Warriors,48,34,48-34
Memphis Grizzlies,48,34,48-34
Sacramento Kings,40,42,40-42
Dallas Mavericks,39,43,39-43
Phoenix Suns,36,46,36-46
Portland Trail Blazers,36,46,36-46
San Antonio Spurs,34,48,34-48
New Orleans Pelicans,21,61,21-61
Utah Jazz,17,65,17-65
