team_name,wins,losses,Overall
Los Angeles Lakers,65,17,65-17
Denver Nuggets,54,28,54-28
Portland Trail Blazers,54,28,54-28
San Antonio Spurs,54,28,54-28
Houston Rockets,53,29,53-29
Dallas Mavericks,50,32,50-32
New Orleans Hornets,49,33,49-33
Utah Jazz,48,34,48-34
Phoenix Suns,46,36,46-36
Golden State Warriors,29,53,29-53
Memphis Grizzlies,24,58,24-58
Minnesota Timberwolves,24,58,24-58
Oklahoma City Thunder,23,59,23-59
Los Angeles Clippers,19,63,19-63
Sacramento Kings,17,65,17-65
