team_name,wins,losses,Overall
Chicago Bulls,50,16,50-16
Miami Heat,46,20,46-20
Indiana Pacers,42,24,42-24
Atlanta Hawks,40,26,40-26
Boston Celtics,39,27,39-27
Orlando Magic,37,29,37-29
New York Knicks,36,30,36-30
Philadelphia 76ers,35,31,35-31
Milwaukee Bucks,31,35,31-35
Detroit Pistons,25,41,25-41
Toronto Raptors,23,43,23-43
New Jersey Nets,22,44,22-44
Cleveland Cavaliers,21,45,21-45
Washington Wizards,20,46,20-46
Charlotte Bobcats,7,59,7-59
