team_name,wins,losses,Overall
Milwaukee Bucks,56,17,56-17
Toronto Raptors,53,19,53-19
Boston Celtics,48,24,48-24
Indiana Pacers,45,28,45-28
Miami Heat,44,29,44-29
Philadelphia 76ers,43,30,43-30
Brooklyn Nets,35,37,35-37
Orlando Magic,33,40,33-40
Washington Wizards,25,47,25-47
Charlotte Hornets,23,42,23-42
Chicago Bulls,22,43,22-43
New York Knicks,21,45,21-45
Atlanta Hawks,20,47,20-47
Detroit Pistons,20,46,20-46
Cleveland Cavaliers,19,46,19-46
