team_name,wins,losses,Overall
Detroit Pistons,53,29,53-29
Cleveland Cavaliers,50,32,50-32
Chicago Bulls,49,33,49-33
Toronto Raptors,47,35,47-35
Miami Heat,44,38,44-38
New Jersey Nets,41,41,41-41
Washington Wizards,41,41,41-41
Orlando Magic,40,42,40-42
Indiana Pacers,35,47,35-47
Philadelphia 76ers,35,47,35-47
Charlotte Bobcats,33,49,33-49
New York Knicks,33,49,33-49
Atlanta Hawks,30,52,30-52
Milwaukee Bucks,28,54,28-54
Boston Celtics,24,58,24-58
