round,matchup,series_stats_link,winner,loser,series_result
Finals,Los Angeles Lakers over Philadelphia 76ers (4-1),/playoffs/2001-nba-finals-76ers-vs-lakers.html,Los Angeles Lakers,Philadelphia 76ers,4-1
Eastern Conference Finals,Philadelphia 76ers over Milwaukee Bucks (4-3),/playoffs/2001-nba-eastern-conference-finals-bucks-vs-76ers.html,Philadelphia 76ers,Milwaukee Bucks,4-3
Western Conference Finals,Los Angeles Lakers over San Antonio Spurs (4-0),/playoffs/2001-nba-western-conference-finals-lakers-vs-spurs.html,Los Angeles Lakers,San Antonio Spurs,4-0
Eastern Conference Semifinals,Milwaukee Bucks over Charlotte Hornets (4-3),/playoffs/2001-nba-eastern-conference-semifinals-hornets-vs-bucks.html,Milwaukee Bucks,Charlotte Hornets,4-3
Eastern Conference Semifinals,Philadelphia 76ers over Toronto Raptors (4-3),/playoffs/2001-nba-eastern-conference-semifinals-raptors-vs-76ers.html,Philadelphia 76ers,Toronto Raptors,4-3
Western Conference Semifinals,Los Angeles Lakers over Sacramento Kings (4-0),/playoffs/2001-nba-western-conference-semifinals-kings-vs-lakers.html,Los Angeles Lakers,Sacramento Kings,4-0
Western Conference Semifinals,San Antonio Spurs over Dallas Mavericks (4-1),/playoffs/2001-nba-western-conference-semifinals-mavericks-vs-spurs.html,San Antonio Spurs,Dallas Mavericks,4-1
Eastern Conference First Round,Charlotte Hornets over Miami Heat (3-0),/playoffs/2001-nba-eastern-conference-first-round-hornets-vs-heat.html,Charlotte Hornets,Miami Heat,3-0
Eastern Conference First Round,Milwaukee Bucks over Orlando Magic (3-1),/playoffs/2001-nba-eastern-conference-first-round-magic-vs-bucks.html,Milwaukee Bucks,Orlando Magic,3-1
Eastern Conference First Round,Philadelphia 76ers over Indiana Pacers (3-1),/playoffs/2001-nba-eastern-conference-first-round-pacers-vs-76ers.html,Philadelphia 76ers,Indiana Pacers,3-1
Eastern Conference First Round,Toronto Raptors over New York Knicks (3-2),/playoffs/2001-nba-eastern-conference-first-round-raptors-vs-knicks.html,Toronto Raptors,New York Knicks,3-2
Western Conference First Round,Dallas Mavericks over Utah Jazz (3-2),/playoffs/2001-nba-western-conference-first-round-mavericks-vs-jazz.html,Dallas Mavericks,Utah Jazz,3-2
Western Conference First Round,Los Angeles Lakers over Portland Trail Blazers (3-0),/playoffs/2001-nba-western-conference-first-round-trail-blazers-vs-lakers.html,Los Angeles Lakers,Portland Trail Blazers,3-0
Western Conference First Round,Sacramento Kings over Phoenix Suns (3-1),/playoffs/2001-nba-western-conference-first-round-suns-vs-kings.html,Sacramento Kings,Phoenix Suns,3-1
Western Conference First Round,San Antonio Spurs over Minnesota Timberwolves (3-1),/playoffs/2001-nba-western-conference-first-round-timberwolves-vs-spurs.html,San Antonio Spurs,Minnesota Timberwolves,3-1
