round,matchup,series_stats_link
Finals,"Golden State Warriors 
over 
Boston Celtics
 (4-2)",/playoffs/2022-nba-finals-celtics-vs-warriors.html
Eastern Conference Finals,"Boston Celtics 
over 
Miami Heat
 (4-3)",/playoffs/2022-nba-eastern-conference-finals-celtics-vs-heat.html
Western Conference Finals,"Golden State Warriors 
over 
Dallas Mavericks
 (4-1)",/playoffs/2022-nba-western-conference-finals-mavericks-vs-warriors.html
Eastern Conference Semifinals,"Boston Celtics 
over 
Milwaukee Bucks
 (4-3)",/playoffs/2022-nba-eastern-conference-semifinals-bucks-vs-celtics.html
Eastern Conference Semifinals,"Miami Heat 
over 
Philadelphia 76ers
 (4-2)",/playoffs/2022-nba-eastern-conference-semifinals-76ers-vs-heat.html
Western Conference Semifinals,"Dallas Mavericks 
over 
Phoenix Suns
 (4-3)",/playoffs/2022-nba-western-conference-semifinals-mavericks-vs-suns.html
Western Conference Semifinals,"Golden State Warriors 
over 
Memphis Grizzlies
 (4-2)",/playoffs/2022-nba-western-conference-semifinals-warriors-vs-grizzlies.html
Eastern Conference First Round,"Boston Celtics 
over 
Brooklyn Nets
 (4-0)",/playoffs/2022-nba-eastern-conference-first-round-nets-vs-celtics.html
Eastern Conference First Round,"Miami Heat 
over 
Atlanta Hawks
 (4-1)",/playoffs/2022-nba-eastern-conference-first-round-hawks-vs-heat.html
Eastern Conference First Round,"Milwaukee Bucks 
over 
Chicago Bulls
 (4-1)",/playoffs/2022-nba-eastern-conference-first-round-bulls-vs-bucks.html
Eastern Conference First Round,"Philadelphia 76ers 
over 
Toronto Raptors
 (4-2)",/playoffs/2022-nba-eastern-conference-first-round-raptors-vs-76ers.html
Western Conference First Round,"Dallas Mavericks 
over 
Utah Jazz
 (4-2)",/playoffs/2022-nba-western-conference-first-round-jazz-vs-mavericks.html
Western Conference First Round,"Golden State Warriors 
over 
Denver Nuggets
 (4-1)",/playoffs/2022-nba-western-conference-first-round-nuggets-vs-warriors.html
Western Conference First Round,"Memphis Grizzlies 
over 
Minnesota Timberwolves
 (4-2)",/playoffs/2022-nba-western-conference-first-round-timberwolves-vs-grizzlies.html
Western Conference First Round,"Phoenix Suns 
over 
New Orleans Pelicans
 (4-2)",/playoffs/2022-nba-western-conference-first-round-pelicans-vs-suns.html
