round,matchup,series_stats_link,winner,loser,series_result
Finals,Miami Heat over Dallas Mavericks (4-2),/playoffs/2006-nba-finals-heat-vs-mavericks.html,Miami Heat,Dallas Mavericks,4-2
Eastern Conference Finals,Miami Heat over Detroit Pistons (4-2),/playoffs/2006-nba-eastern-conference-finals-heat-vs-pistons.html,Miami Heat,Detroit Pistons,4-2
Western Conference Finals,Dallas Mavericks over Phoenix Suns (4-2),/playoffs/2006-nba-western-conference-finals-suns-vs-mavericks.html,Dallas Mavericks,Phoenix Suns,4-2
Eastern Conference Semifinals,Detroit Pistons over Cleveland Cavaliers (4-3),/playoffs/2006-nba-eastern-conference-semifinals-cavaliers-vs-pistons.html,Detroit Pistons,Cleveland Cavaliers,4-3
Eastern Conference Semifinals,Miami Heat over New Jersey Nets (4-1),/playoffs/2006-nba-eastern-conference-semifinals-nets-vs-heat.html,Miami Heat,New Jersey Nets,4-1
Western Conference Semifinals,Dallas Mavericks over San Antonio Spurs (4-3),/playoffs/2006-nba-western-conference-semifinals-mavericks-vs-spurs.html,Dallas Mavericks,San Antonio Spurs,4-3
Western Conference Semifinals,Phoenix Suns over Los Angeles Clippers (4-3),/playoffs/2006-nba-western-conference-semifinals-clippers-vs-suns.html,Phoenix Suns,Los Angeles Clippers,4-3
Eastern Conference First Round,Cleveland Cavaliers over Washington Wizards (4-2),/playoffs/2006-nba-eastern-conference-first-round-wizards-vs-cavaliers.html,Cleveland Cavaliers,Washington Wizards,4-2
Eastern Conference First Round,Detroit Pistons over Milwaukee Bucks (4-1),/playoffs/2006-nba-eastern-conference-first-round-bucks-vs-pistons.html,Detroit Pistons,Milwaukee Bucks,4-1
Eastern Conference First Round,Miami Heat over Chicago Bulls (4-2),/playoffs/2006-nba-eastern-conference-first-round-bulls-vs-heat.html,Miami Heat,Chicago Bulls,4-2
Eastern Conference First Round,New Jersey Nets over Indiana Pacers (4-2),/playoffs/2006-nba-eastern-conference-first-round-pacers-vs-nets.html,New Jersey Nets,Indiana Pacers,4-2
Western Conference First Round,Dallas Mavericks over Memphis Grizzlies (4-0),/playoffs/2006-nba-western-conference-first-round-grizzlies-vs-mavericks.html,Dallas Mavericks,Memphis Grizzlies,4-0
Western Conference First Round,Los Angeles Clippers over Denver Nuggets (4-1),/playoffs/2006-nba-western-conference-first-round-nuggets-vs-clippers.html,Los Angeles Clippers,Denver Nuggets,4-1
Western Conference First Round,Phoenix Suns over Los Angeles Lakers (4-3),/playoffs/2006-nba-western-conference-first-round-lakers-vs-suns.html,Phoenix Suns,Los Angeles Lakers,4-3
Western Conference First Round,San Antonio Spurs over Sacramento Kings (4-2),/playoffs/2006-nba-western-conference-first-round-kings-vs-spurs.html,San Antonio Spurs,Sacramento Kings,4-2
