round,matchup,series_stats_link
Finals,"Los Angeles Lakers 
over 
Miami Heat
 (4-2)",/playoffs/2020-nba-finals-heat-vs-lakers.html
Game 1,"Wed, September 30",
Game 2,"Fri, October 2",
Game 3,"Sun, October 4",
Game 4,"Tue, October 6",
Game 5,"Fri, October 9",
Game 6,"Sun, October 11",
Eastern Conference Finals,"Miami Heat 
over 
Boston Celtics
 (4-2)",/playoffs/2020-nba-eastern-conference-finals-heat-vs-celtics.html
Game 1,"Tue, September 15",
Game 2,"Thu, September 17",
Game 3,"Sat, September 19",
Game 4,"Wed, September 23",
Game 5,"Fri, September 25",
Game 6,"Sun, September 27",
Western Conference Finals,"Los Angeles Lakers 
over 
Denver Nuggets
 (4-1)",/playoffs/2020-nba-western-conference-finals-nuggets-vs-lakers.html
Game 1,"Fri, September 18",
Game 2,"Sun, September 20",
Game 3,"Tue, September 22",
Game 4,"Thu, September 24",
Game 5,"Sat, September 26",
Eastern Conference Semifinals,"Boston Celtics 
over 
Toronto Raptors
 (4-3)",/playoffs/2020-nba-eastern-conference-semifinals-celtics-vs-raptors.html
Game 1,"Sun, August 30",
Game 2,"Tue, September 1",
Game 3,"Thu, September 3",
Game 4,"Sat, September 5",
Game 5,"Mon, September 7",
Game 6,"Wed, September 9",
Game 7,"Fri, September 11",
Eastern Conference Semifinals,"Miami Heat 
over 
Milwaukee Bucks
 (4-1)",/playoffs/2020-nba-eastern-conference-semifinals-heat-vs-bucks.html
Game 1,"Mon, August 31",
Game 2,"Wed, September 2",
Game 3,"Fri, September 4",
Game 4,"Sun, September 6",
Game 5,"Tue, September 8",
Western Conference Semifinals,"Denver Nuggets 
over 
Los Angeles Clippers
 (4-3)",/playoffs/2020-nba-western-conference-semifinals-nuggets-vs-clippers.html
Game 1,"Thu, September 3",
Game 2,"Sat, September 5",
Game 3,"Mon, September 7",
Game 4,"Wed, September 9",
Game 5,"Fri, September 11",
Game 6,"Sun, September 13",
Game 7,"Tue, September 15",
Western Conference Semifinals,"Los Angeles Lakers 
over 
Houston Rockets
 (4-1)",/playoffs/2020-nba-western-conference-semifinals-rockets-vs-lakers.html
Game 1,"Fri, September 4",
Game 2,"Sun, September 6",
Game 3,"Tue, September 8",
Game 4,"Thu, September 10",
Game 5,"Sat, September 12",
Eastern Conference First Round,"Boston Celtics 
over 
Philadelphia 76ers
 (4-0)",/playoffs/2020-nba-eastern-conference-first-round-76ers-vs-celtics.html
Game 1,"Mon, August 17",
Game 2,"Wed, August 19",
Game 3,"Fri, August 21",
Game 4,"Sun, August 23",
Eastern Conference First Round,"Miami Heat 
over 
Indiana Pacers
 (4-0)",/playoffs/2020-nba-eastern-conference-first-round-heat-vs-pacers.html
Game 1,"Tue, August 18",
Game 2,"Thu, August 20",
Game 3,"Sat, August 22",
Game 4,"Mon, August 24",
Eastern Conference First Round,"Milwaukee Bucks 
over 
Orlando Magic
 (4-1)",/playoffs/2020-nba-eastern-conference-first-round-magic-vs-bucks.html
Game 1,"Tue, August 18",
Game 2,"Thu, August 20",
Game 3,"Sat, August 22",
Game 4,"Mon, August 24",
Game 5,"Sat, August 29",
Eastern Conference First Round,"Toronto Raptors 
over 
Brooklyn Nets
 (4-0)",/playoffs/2020-nba-eastern-conference-first-round-nets-vs-raptors.html
Game 1,"Mon, August 17",
Game 2,"Wed, August 19",
Game 3,"Fri, August 21",
Game 4,"Sun, August 23",
Western Conference First Round,"Denver Nuggets 
over 
Utah Jazz
 (4-3)",/playoffs/2020-nba-western-conference-first-round-jazz-vs-nuggets.html
Game 1,"Mon, August 17",
Game 2,"Wed, August 19",
Game 3,"Fri, August 21",
Game 4,"Sun, August 23",
Game 5,"Tue, August 25",
Game 6,"Sun, August 30",
Game 7,"Tue, September 1",
Western Conference First Round,"Houston Rockets 
over 
Oklahoma City Thunder
 (4-3)",/playoffs/2020-nba-western-conference-first-round-thunder-vs-rockets.html
Game 1,"Tue, August 18",
Game 2,"Thu, August 20",
Game 3,"Sat, August 22",
Game 4,"Mon, August 24",
Game 5,"Sat, August 29",
Game 6,"Mon, August 31",
Game 7,"Wed, September 2",
Western Conference First Round,"Los Angeles Clippers 
over 
Dallas Mavericks
 (4-2)",/playoffs/2020-nba-western-conference-first-round-mavericks-vs-clippers.html
Game 1,"Mon, August 17",
Game 2,"Wed, August 19",
Game 3,"Fri, August 21",
Game 4,"Sun, August 23",
Game 5,"Tue, August 25",
Game 6,"Sun, August 30",
Western Conference First Round,"Los Angeles Lakers 
over 
Portland Trail Blazers
 (4-1)",/playoffs/2020-nba-western-conference-first-round-trail-blazers-vs-lakers.html
Game 1,"Tue, August 18",
Game 2,"Thu, August 20",
Game 3,"Sat, August 22",
Game 4,"Mon, August 24",
Game 5,"Sat, August 29",
