round,matchup,series_stats_link
Finals,"Golden State Warriors 
over 
Cleveland Cavaliers
 (4-1)",/playoffs/2017-nba-finals-cavaliers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Finals,"Cleveland Cavaliers 
over 
Boston Celtics
 (4-1)",/playoffs/2017-nba-eastern-conference-finals-cavaliers-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference Finals,"Golden State Warriors 
over 
San Antonio Spurs
 (4-0)",/playoffs/2017-nba-western-conference-finals-spurs-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference Semifinals,"Boston Celtics 
over 
Washington Wizards
 (4-3)",/playoffs/2017-nba-eastern-conference-semifinals-wizards-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference Semifinals,"Cleveland Cavaliers 
over 
Toronto Raptors
 (4-0)",/playoffs/2017-nba-eastern-conference-semifinals-raptors-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference Semifinals,"Golden State Warriors 
over 
Utah Jazz
 (4-0)",/playoffs/2017-nba-western-conference-semifinals-jazz-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference Semifinals,"San Antonio Spurs 
over 
Houston Rockets
 (4-2)",/playoffs/2017-nba-western-conference-semifinals-rockets-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Boston Celtics 
over 
Chicago Bulls
 (4-2)",/playoffs/2017-nba-eastern-conference-first-round-bulls-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Cleveland Cavaliers 
over 
Indiana Pacers
 (4-0)",/playoffs/2017-nba-eastern-conference-first-round-pacers-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Toronto Raptors 
over 
Milwaukee Bucks
 (4-2)",/playoffs/2017-nba-eastern-conference-first-round-bucks-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Washington Wizards 
over 
Atlanta Hawks
 (4-2)",/playoffs/2017-nba-eastern-conference-first-round-hawks-vs-wizards.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Golden State Warriors 
over 
Portland Trail Blazers
 (4-0)",/playoffs/2017-nba-western-conference-first-round-trail-blazers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference First Round,"Houston Rockets 
over 
Oklahoma City Thunder
 (4-1)",/playoffs/2017-nba-western-conference-first-round-thunder-vs-rockets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"San Antonio Spurs 
over 
Memphis Grizzlies
 (4-2)",/playoffs/2017-nba-western-conference-first-round-grizzlies-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference First Round,"Utah Jazz 
over 
Los Angeles Clippers
 (4-3)",/playoffs/2017-nba-western-conference-first-round-jazz-vs-clippers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
