round,matchup,series_stats_link
Finals,"Boston Celtics 
over 
Los Angeles Lakers
 (4-2)",/playoffs/2008-nba-finals-lakers-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Finals,"Boston Celtics 
over 
Detroit Pistons
 (4-2)",/playoffs/2008-nba-eastern-conference-finals-pistons-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Finals,"Los Angeles Lakers 
over 
San Antonio Spurs
 (4-1)",/playoffs/2008-nba-western-conference-finals-spurs-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Semifinals,"Boston Celtics 
over 
Cleveland Cavaliers
 (4-3)",/playoffs/2008-nba-eastern-conference-semifinals-cavaliers-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference Semifinals,"Detroit Pistons 
over 
Orlando Magic
 (4-1)",/playoffs/2008-nba-eastern-conference-semifinals-magic-vs-pistons.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference Semifinals,"Los Angeles Lakers 
over 
Utah Jazz
 (4-2)",/playoffs/2008-nba-western-conference-semifinals-jazz-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Semifinals,"San Antonio Spurs 
over 
New Orleans Hornets
 (4-3)",/playoffs/2008-nba-western-conference-semifinals-spurs-vs-hornets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Boston Celtics 
over 
Atlanta Hawks
 (4-3)",/playoffs/2008-nba-eastern-conference-first-round-hawks-vs-celtics.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Cleveland Cavaliers 
over 
Washington Wizards
 (4-2)",/playoffs/2008-nba-eastern-conference-first-round-wizards-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Detroit Pistons 
over 
Philadelphia 76ers
 (4-2)",/playoffs/2008-nba-eastern-conference-first-round-76ers-vs-pistons.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Orlando Magic 
over 
Toronto Raptors
 (4-1)",/playoffs/2008-nba-eastern-conference-first-round-raptors-vs-magic.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Los Angeles Lakers 
over 
Denver Nuggets
 (4-0)",/playoffs/2008-nba-western-conference-first-round-nuggets-vs-lakers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference First Round,"New Orleans Hornets 
over 
Dallas Mavericks
 (4-1)",/playoffs/2008-nba-western-conference-first-round-mavericks-vs-hornets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"San Antonio Spurs 
over 
Phoenix Suns
 (4-1)",/playoffs/2008-nba-western-conference-first-round-suns-vs-spurs.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Utah Jazz 
over 
Houston Rockets
 (4-2)",/playoffs/2008-nba-western-conference-first-round-jazz-vs-rockets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
