round,matchup,series_stats_link
Finals,"Milwaukee Bucks 
over 
Phoenix Suns
 (4-2)",/playoffs/2021-nba-finals-bucks-vs-suns.html
Game 1,"Tue, July 6",
Game 2,"Thu, July 8",
Game 3,"Sun, July 11",
Game 4,"Wed, July 14",
Game 5,"Sat, July 17",
Game 6,"Tue, July 20",
Eastern Conference Finals,"Milwaukee Bucks 
over 
Atlanta Hawks
 (4-2)",/playoffs/2021-nba-eastern-conference-finals-hawks-vs-bucks.html
Game 1,"Wed, June 23",
Game 2,"Fri, June 25",
Game 3,"Sun, June 27",
Game 4,"Tue, June 29",
Game 5,"Thu, July 1",
Game 6,"Sat, July 3",
Western Conference Finals,"Phoenix Suns 
over 
Los Angeles Clippers
 (4-2)",/playoffs/2021-nba-western-conference-finals-clippers-vs-suns.html
Game 1,"Sun, June 20",
Game 2,"Tue, June 22",
Game 3,"Thu, June 24",
Game 4,"Sat, June 26",
Game 5,"Mon, June 28",
Game 6,"Wed, June 30",
Eastern Conference Semifinals,"Atlanta Hawks 
over 
Philadelphia 76ers
 (4-3)",/playoffs/2021-nba-eastern-conference-semifinals-hawks-vs-76ers.html
Game 1,"Sun, June 6",
Game 2,"Tue, June 8",
Game 3,"Fri, June 11",
Game 4,"Mon, June 14",
Game 5,"Wed, June 16",
Game 6,"Fri, June 18",
Game 7,"Sun, June 20",
Eastern Conference Semifinals,"Milwaukee Bucks 
over 
Brooklyn Nets
 (4-3)",/playoffs/2021-nba-eastern-conference-semifinals-bucks-vs-nets.html
Game 1,"Sat, June 5",
Game 2,"Mon, June 7",
Game 3,"Thu, June 10",
Game 4,"Sun, June 13",
Game 5,"Tue, June 15",
Game 6,"Thu, June 17",
Game 7,"Sat, June 19",
Western Conference Semifinals,"Los Angeles Clippers 
over 
Utah Jazz
 (4-2)",/playoffs/2021-nba-western-conference-semifinals-clippers-vs-jazz.html
Game 1,"Tue, June 8",
Game 2,"Thu, June 10",
Game 3,"Sat, June 12",
Game 4,"Mon, June 14",
Game 5,"Wed, June 16",
Game 6,"Fri, June 18",
Western Conference Semifinals,"Phoenix Suns 
over 
Denver Nuggets
 (4-0)",/playoffs/2021-nba-western-conference-semifinals-nuggets-vs-suns.html
Game 1,"Mon, June 7",
Game 2,"Wed, June 9",
Game 3,"Fri, June 11",
Game 4,"Sun, June 13",
Eastern Conference First Round,"Atlanta Hawks 
over 
New York Knicks
 (4-1)",/playoffs/2021-nba-eastern-conference-first-round-hawks-vs-knicks.html
Game 1,"Sun, May 23",
Game 2,"Wed, May 26",
Game 3,"Fri, May 28",
Game 4,"Sun, May 30",
Game 5,"Wed, June 2",
Eastern Conference First Round,"Brooklyn Nets 
over 
Boston Celtics
 (4-1)",/playoffs/2021-nba-eastern-conference-first-round-celtics-vs-nets.html
Game 1,"Sat, May 22",
Game 2,"Tue, May 25",
Game 3,"Fri, May 28",
Game 4,"Sun, May 30",
Game 5,"Tue, June 1",
Eastern Conference First Round,"Milwaukee Bucks 
over 
Miami Heat
 (4-0)",/playoffs/2021-nba-eastern-conference-first-round-heat-vs-bucks.html
Game 1,"Sat, May 22",
Game 2,"Mon, May 24",
Game 3,"Thu, May 27",
Game 4,"Sat, May 29",
Eastern Conference First Round,"Philadelphia 76ers 
over 
Washington Wizards
 (4-1)",/playoffs/2021-nba-eastern-conference-first-round-wizards-vs-76ers.html
Game 1,"Sun, May 23",
Game 2,"Wed, May 26",
Game 3,"Sat, May 29",
Game 4,"Mon, May 31",
Game 5,"Wed, June 2",
Western Conference First Round,"Denver Nuggets 
over 
Portland Trail Blazers
 (4-2)",/playoffs/2021-nba-western-conference-first-round-trail-blazers-vs-nuggets.html
Game 1,"Sat, May 22",
Game 2,"Mon, May 24",
Game 3,"Thu, May 27",
Game 4,"Sat, May 29",
Game 5,"Tue, June 1",
Game 6,"Thu, June 3",
Western Conference First Round,"Los Angeles Clippers 
over 
Dallas Mavericks
 (4-3)",/playoffs/2021-nba-western-conference-first-round-mavericks-vs-clippers.html
Game 1,"Sat, May 22",
Game 2,"Tue, May 25",
Game 3,"Fri, May 28",
Game 4,"Sun, May 30",
Game 5,"Wed, June 2",
Game 6,"Fri, June 4",
Game 7,"Sun, June 6",
Western Conference First Round,"Phoenix Suns 
over 
Los Angeles Lakers
 (4-2)",/playoffs/2021-nba-western-conference-first-round-lakers-vs-suns.html
Game 1,"Sun, May 23",
Game 2,"Tue, May 25",
Game 3,"Thu, May 27",
Game 4,"Sun, May 30",
Game 5,"Tue, June 1",
Game 6,"Thu, June 3",
Western Conference First Round,"Utah Jazz 
over 
Memphis Grizzlies
 (4-1)",/playoffs/2021-nba-western-conference-first-round-grizzlies-vs-jazz.html
Game 1,"Sun, May 23",
Game 2,"Wed, May 26",
Game 3,"Sat, May 29",
Game 4,"Mon, May 31",
Game 5,"Wed, June 2",
