round,matchup,series_stats_link,winner,loser,series_result
Finals,Los Angeles Lakers over Indiana Pacers (4-2),/playoffs/2000-nba-finals-pacers-vs-lakers.html,Los Angeles Lakers,Indiana Pacers,4-2
Eastern Conference Finals,Indiana Pacers over New York Knicks (4-2),/playoffs/2000-nba-eastern-conference-finals-knicks-vs-pacers.html,Indiana Pacers,New York Knicks,4-2
Western Conference Finals,Los Angeles Lakers over Portland Trail Blazers (4-3),/playoffs/2000-nba-western-conference-finals-trail-blazers-vs-lakers.html,Los Angeles Lakers,Portland Trail Blazers,4-3
Eastern Conference Semifinals,Indiana Pacers over Philadelphia 76ers (4-2),/playoffs/2000-nba-eastern-conference-semifinals-76ers-vs-pacers.html,Indiana Pacers,Philadelphia 76ers,4-2
Eastern Conference Semifinals,New York Knicks over Miami Heat (4-3),/playoffs/2000-nba-eastern-conference-semifinals-knicks-vs-heat.html,New York Knicks,Miami Heat,4-3
Western Conference Semifinals,Los Angeles Lakers over Phoenix Suns (4-1),/playoffs/2000-nba-western-conference-semifinals-suns-vs-lakers.html,Los Angeles Lakers,Phoenix Suns,4-1
Western Conference Semifinals,Portland Trail Blazers over Utah Jazz (4-1),/playoffs/2000-nba-western-conference-semifinals-jazz-vs-trail-blazers.html,Portland Trail Blazers,Utah Jazz,4-1
Eastern Conference First Round,Indiana Pacers over Milwaukee Bucks (3-2),/playoffs/2000-nba-eastern-conference-first-round-bucks-vs-pacers.html,Indiana Pacers,Milwaukee Bucks,3-2
Eastern Conference First Round,Miami Heat over Detroit Pistons (3-0),/playoffs/2000-nba-eastern-conference-first-round-pistons-vs-heat.html,Miami Heat,Detroit Pistons,3-0
Eastern Conference First Round,New York Knicks over Toronto Raptors (3-0),/playoffs/2000-nba-eastern-conference-first-round-raptors-vs-knicks.html,New York Knicks,Toronto Raptors,3-0
Eastern Conference First Round,Philadelphia 76ers over Charlotte Hornets (3-1),/playoffs/2000-nba-eastern-conference-first-round-76ers-vs-hornets.html,Philadelphia 76ers,Charlotte Hornets,3-1
Western Conference First Round,Los Angeles Lakers over Sacramento Kings (3-2),/playoffs/2000-nba-western-conference-first-round-kings-vs-lakers.html,Los Angeles Lakers,Sacramento Kings,3-2
Western Conference First Round,Phoenix Suns over San Antonio Spurs (3-1),/playoffs/2000-nba-western-conference-first-round-suns-vs-spurs.html,Phoenix Suns,San Antonio Spurs,3-1
Western Conference First Round,Portland Trail Blazers over Minnesota Timberwolves (3-1),/playoffs/2000-nba-western-conference-first-round-timberwolves-vs-trail-blazers.html,Portland Trail Blazers,Minnesota Timberwolves,3-1
Western Conference First Round,Utah Jazz over Seattle SuperSonics (3-2),/playoffs/2000-nba-western-conference-first-round-supersonics-vs-jazz.html,Utah Jazz,Seattle SuperSonics,3-2
