round,matchup,series_stats_link
Finals,"San Antonio Spurs 
over 
Miami Heat
 (4-1)",/playoffs/2014-nba-finals-heat-vs-spurs.html
Game 1,"Thu, June 5",
Game 2,"Sun, June 8",
Game 3,"Tue, June 10",
Game 4,"Thu, June 12",
Game 5,"Sun, June 15",
Eastern Conference Finals,"Miami Heat 
over 
Indiana Pacers
 (4-2)",/playoffs/2014-nba-eastern-conference-finals-heat-vs-pacers.html
Game 1,"Sun, May 18",
Game 2,"Tue, May 20",
Game 3,"Sat, May 24",
Game 4,"Mon, May 26",
Game 5,"Wed, May 28",
Game 6,"Fri, May 30",
Western Conference Finals,"San Antonio Spurs 
over 
Oklahoma City Thunder
 (4-2)",/playoffs/2014-nba-western-conference-finals-thunder-vs-spurs.html
Game 1,"Mon, May 19",
Game 2,"Wed, May 21",
Game 3,"Sun, May 25",
Game 4,"Tue, May 27",
Game 5,"Thu, May 29",
Game 6,"Sat, May 31",
Eastern Conference Semifinals,"Indiana Pacers 
over 
Washington Wizards
 (4-2)",/playoffs/2014-nba-eastern-conference-semifinals-wizards-vs-pacers.html
Game 1,"Mon, May 5",
Game 2,"Wed, May 7",
Game 3,"Fri, May 9",
Game 4,"Sun, May 11",
Game 5,"Tue, May 13",
Game 6,"Thu, May 15",
Eastern Conference Semifinals,"Miami Heat 
over 
Brooklyn Nets
 (4-1)",/playoffs/2014-nba-eastern-conference-semifinals-nets-vs-heat.html
Game 1,"Tue, May 6",
Game 2,"Thu, May 8",
Game 3,"Sat, May 10",
Game 4,"Mon, May 12",
Game 5,"Wed, May 14",
Western Conference Semifinals,"Oklahoma City Thunder 
over 
Los Angeles Clippers
 (4-2)",/playoffs/2014-nba-western-conference-semifinals-clippers-vs-thunder.html
Game 1,"Mon, May 5",
Game 2,"Wed, May 7",
Game 3,"Fri, May 9",
Game 4,"Sun, May 11",
Game 5,"Tue, May 13",
Game 6,"Thu, May 15",
Western Conference Semifinals,"San Antonio Spurs 
over 
Portland Trail Blazers
 (4-1)",/playoffs/2014-nba-western-conference-semifinals-trail-blazers-vs-spurs.html
Game 1,"Tue, May 6",
Game 2,"Thu, May 8",
Game 3,"Sat, May 10",
Game 4,"Mon, May 12",
Game 5,"Wed, May 14",
Eastern Conference First Round,"Brooklyn Nets 
over 
Toronto Raptors
 (4-3)",/playoffs/2014-nba-eastern-conference-first-round-nets-vs-raptors.html
Game 1,"Sat, April 19",
Game 2,"Tue, April 22",
Game 3,"Fri, April 25",
Game 4,"Sun, April 27",
Game 5,"Wed, April 30",
Game 6,"Fri, May 2",
Game 7,"Sun, May 4",
Eastern Conference First Round,"Indiana Pacers 
over 
Atlanta Hawks
 (4-3)",/playoffs/2014-nba-eastern-conference-first-round-hawks-vs-pacers.html
Game 1,"Sat, April 19",
Game 2,"Tue, April 22",
Game 3,"Thu, April 24",
Game 4,"Sat, April 26",
Game 5,"Mon, April 28",
Game 6,"Thu, May 1",
Game 7,"Sat, May 3",
Eastern Conference First Round,"Miami Heat 
over 
Charlotte Bobcats
 (4-0)",/playoffs/2014-nba-eastern-conference-first-round-bobcats-vs-heat.html
Game 1,"Sun, April 20",
Game 2,"Wed, April 23",
Game 3,"Sat, April 26",
Game 4,"Mon, April 28",
Eastern Conference First Round,"Washington Wizards 
over 
Chicago Bulls
 (4-1)",/playoffs/2014-nba-eastern-conference-first-round-wizards-vs-bulls.html
Game 1,"Sun, April 20",
Game 2,"Tue, April 22",
Game 3,"Fri, April 25",
Game 4,"Sun, April 27",
Game 5,"Tue, April 29",
Western Conference First Round,"Los Angeles Clippers 
over 
Golden State Warriors
 (4-3)",/playoffs/2014-nba-western-conference-first-round-warriors-vs-clippers.html
Game 1,"Sat, April 19",
Game 2,"Mon, April 21",
Game 3,"Thu, April 24",
Game 4,"Sun, April 27",
Game 5,"Tue, April 29",
Game 6,"Thu, May 1",
Game 7,"Sat, May 3",
Western Conference First Round,"Oklahoma City Thunder 
over 
Memphis Grizzlies
 (4-3)",/playoffs/2014-nba-western-conference-first-round-grizzlies-vs-thunder.html
Game 1,"Sat, April 19",
Game 2,"Mon, April 21",
Game 3,"Thu, April 24",
Game 4,"Sat, April 26",
Game 5,"Tue, April 29",
Game 6,"Thu, May 1",
Game 7,"Sat, May 3",
Western Conference First Round,"Portland Trail Blazers 
over 
Houston Rockets
 (4-2)",/playoffs/2014-nba-western-conference-first-round-trail-blazers-vs-rockets.html
Game 1,"Sun, April 20",
Game 2,"Wed, April 23",
Game 3,"Fri, April 25",
Game 4,"Sun, April 27",
Game 5,"Wed, April 30",
Game 6,"Fri, May 2",
Western Conference First Round,"San Antonio Spurs 
over 
Dallas Mavericks
 (4-3)",/playoffs/2014-nba-western-conference-first-round-mavericks-vs-spurs.html
Game 1,"Sun, April 20",
Game 2,"Wed, April 23",
Game 3,"Sat, April 26",
Game 4,"Mon, April 28",
Game 5,"Wed, April 30",
Game 6,"Fri, May 2",
Game 7,"Sun, May 4",
