team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19705,.458,13.3,,.747,.267,.160,.101,.219,.253,,.490,.627,.461,.403,.384,.366,,.483,.868,,.055,314,,.211
Boston Celtics,82,19880,.486,12.1,,.786,.332,.123,.109,.223,.214,,.510,.633,.402,.411,.434,.397,,.541,.911,,.044,266,,.281
Charlotte Bobcats,82,19930,.455,11.6,,.787,.368,.119,.082,.219,.213,,.479,.566,.384,.398,.415,.366,,.539,.939,,.047,274,,.307
Chicago Bulls,82,19930,.457,12.4,,.811,.330,.084,.104,.293,.189,,.474,.574,.386,.387,.418,.381,,.505,.817,,.048,300,,.265
Cleveland Cavaliers,82,19780,.468,13.7,,.741,.278,.101,.101,.262,.259,,.495,.644,.385,.391,.418,.393,,.484,.790,,.049,289,,.210
Dallas Mavericks,82,19805,.462,13.4,,.759,.266,.089,.162,.242,.241,,.498,.601,.402,.443,.456,.350,,.506,.851,,.042,262,,.211
Denver Nuggets,82,19730,.470,11.8,,.773,.376,.100,.081,.216,.227,,.499,.616,.407,.327,.401,.371,,.555,.777,,.088,523,,.266
Detroit Pistons,82,19905,.454,12.7,,.835,.284,.091,.156,.304,.165,,.475,.587,.477,.405,.406,.349,,.510,.955,,.039,233,,.229
Golden State Warriors,82,19880,.458,12.6,,.791,.308,.138,.092,.252,.209,,.480,.632,.362,.366,.402,.373,,.468,.827,,.044,290,,.247
Houston Rockets,82,19805,.453,12.3,,.746,.309,.160,.111,.166,.254,,.480,.568,.450,.409,.393,.375,,.492,.824,,.033,195,,.265
Indiana Pacers,82,19830,.455,12.9,,.756,.295,.135,.103,.223,.244,,.480,.592,.413,.410,.403,.378,,.454,.933,,.026,167,,.261
Los Angeles Clippers,82,19880,.441,12.2,,.774,.336,.119,.102,.218,.226,,.467,.582,.400,.347,.382,.354,,.525,.847,,.045,260,,.265
Los Angeles Lakers,82,19780,.474,11.9,,.783,.320,.148,.119,.196,.217,,.505,.616,.440,.443,.410,.361,,.522,.854,,.068,442,,.231
Memphis Grizzlies,82,19805,.454,11.4,,.825,.332,.164,.102,.227,.175,,.474,.573,.405,.398,.414,.360,,.433,.892,,.070,406,,.248
Miami Heat,82,19955,.457,13.3,,.755,.275,.119,.114,.247,.245,,.489,.619,.423,.412,.411,.357,,.485,.826,,.062,363,,.199
Milwaukee Bucks,82,19780,.445,12.4,,.792,.305,.118,.125,.243,.208,,.467,.568,.437,.384,.398,.363,,.539,.892,,.043,257,,.243
Minnesota Timberwolves,82,19805,.441,11.9,,.773,.332,.137,.107,.196,.227,,.467,.571,.400,.365,.395,.353,,.491,.875,,.031,186,,.280
New Jersey Nets,82,19830,.448,12.8,,.735,.330,.088,.102,.215,.265,,.473,.578,.416,.375,.383,.376,,.478,.842,,.051,304,,.260
New Orleans Hornets,82,19755,.457,12.8,,.760,.276,.134,.137,.213,.240,,.487,.613,.451,.387,.410,.364,,.471,.899,,.056,325,,.202
New York Knicks,82,19805,.445,12.8,,.678,.349,.091,.084,.154,.322,,.486,.576,.412,.364,.391,.360,,.447,.843,,.037,235,,.299
Oklahoma City Thunder,82,19805,.447,11.0,,.859,.338,.134,.138,.248,.141,,.463,.606,.358,.388,.368,.346,,.515,.878,,.071,429,,.250
Orlando Magic,82,19730,.457,13.6,,.665,.282,.127,.101,.155,.335,,.495,.623,.405,.424,.381,.381,,.417,.871,,.054,327,,.215
Philadelphia 76ers,82,19755,.459,10.8,,.836,.382,.112,.138,.204,.164,,.486,.598,.385,.397,.394,.318,,.516,.809,,.074,458,,.293
Phoenix Suns,82,19755,.504,10.9,,.784,.363,.164,.100,.158,.216,,.537,.665,.442,.387,.437,.383,,.520,.796,,.078,471,,.271
Portland Trail Blazers,82,19830,.465,12.8,,.761,.294,.126,.109,.231,.239,,.490,.621,.419,.382,.414,.383,,.467,.901,,.075,437,,.198
Sacramento Kings,82,19905,.447,12.7,,.762,.290,.141,.103,.229,.238,,.472,.596,.378,.408,.402,.368,,.481,.790,,.044,268,,.227
San Antonio Spurs,82,19905,.466,13.4,,.752,.253,.140,.109,.250,.248,,.492,.616,.456,.405,.424,.386,,.489,.885,,.012,75,,.234
Toronto Raptors,82,19805,.458,13.1,,.807,.264,.117,.132,.294,.193,,.478,.601,.420,.375,.438,.372,,.543,.910,,.054,318,,.193
Utah Jazz,82,19880,.475,11.2,,.831,.379,.101,.091,.259,.169,,.500,.614,.371,.422,.412,.349,,.609,.893,,.068,412,,.289
Washington Wizards,82,19705,.450,11.9,,.820,.317,.154,.107,.242,.180,,.476,.614,.386,.383,.395,.330,,.506,.825,,.043,276,,.261
