team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19905,.444,11.9,,.823,.269,.158,.181,.214,.177,,.464,.584,.381,.423,.410,.352,,.543,.856,,.048,297,,.202
Boston Celtics,82,19830,.415,13.8,,.669,.268,.140,.109,.152,.331,,.455,.618,.319,.346,.371,.334,,.496,.823,,.034,204,,.225
Chicago Bulls,82,19930,.445,10.9,,.852,.324,.169,.148,.211,.148,,.462,.590,.405,.366,.380,.350,,.562,.848,,.059,370,,.243
Cleveland Cavaliers,82,19830,.422,11.1,,.867,.303,.159,.188,.216,.133,,.437,.596,.331,.361,.359,.327,,.572,.853,,.064,381,,.200
Dallas Mavericks,82,19780,.453,13.2,,.761,.253,.131,.136,.241,.239,,.475,.622,.416,.408,.391,.381,,.515,.843,,.032,211,,.206
Denver Nuggets,82,19730,.411,11.2,,.874,.297,.171,.135,.272,.126,,.430,.567,.341,.380,.361,.278,,.629,.825,,.068,390,,.199
Detroit Pistons,82,19905,.430,13.1,,.763,.264,.135,.145,.219,.237,,.452,.568,.420,.364,.393,.358,,.553,.792,,.032,179,,.212
Golden State Warriors,82,19755,.441,11.6,,.822,.271,.207,.123,.222,.178,,.462,.638,.361,.405,.373,.344,,.517,.819,,.046,300,,.191
Houston Rockets,82,19930,.440,12.1,,.804,.305,.145,.126,.229,.196,,.462,.605,.380,.366,.376,.346,,.466,.879,,.065,381,,.223
Indiana Pacers,82,19905,.441,12.0,,.831,.278,.163,.163,.226,.169,,.461,.632,.357,.369,.392,.339,,.623,.876,,.043,270,,.222
Los Angeles Clippers,82,19755,.437,11.1,,.818,.317,.194,.137,.170,.182,,.460,.591,.404,.334,.382,.331,,.518,.869,,.050,300,,.244
Los Angeles Lakers,82,19930,.451,12.3,,.801,.283,.159,.134,.225,.199,,.475,.641,.385,.352,.402,.356,,.571,.864,,.077,489,,.185
Memphis Grizzlies,82,19930,.452,11.9,,.810,.287,.173,.132,.218,.190,,.473,.614,.404,.377,.399,.365,,.584,.822,,.061,371,,.204
Miami Heat,82,19830,.412,12.9,,.831,.251,.127,.154,.299,.169,,.432,.561,.391,.362,.378,.316,,.519,.825,,.034,183,,.202
Milwaukee Bucks,82,19905,.457,12.6,,.771,.267,.136,.191,.177,.229,,.478,.599,.406,.431,.403,.383,,.527,.899,,.029,171,,.218
Minnesota Timberwolves,82,19805,.466,12.3,,.882,.249,.150,.156,.327,.118,,.479,.622,.435,.420,.418,.368,,.632,.851,,.043,278,,.187
New Jersey Nets,82,19755,.441,11.3,,.842,.340,.133,.112,.258,.158,,.462,.603,.371,.362,.366,.332,,.617,.890,,.069,406,,.240
New Orleans Hornets,82,19905,.435,12.0,,.839,.278,.132,.187,.241,.161,,.447,.563,.392,.402,.377,.376,,.582,.854,,.043,259,,.215
New York Knicks,82,19855,.441,13.5,,.765,.210,.145,.188,.222,.235,,.459,.554,.437,.436,.403,.383,,.555,.807,,.017,102,,.174
Orlando Magic,82,19805,.436,13.5,,.765,.292,.080,.098,.295,.235,,.460,.557,.381,.388,.408,.357,,.515,.792,,.035,218,,.232
Philadelphia 76ers,82,19855,.448,10.1,,.881,.367,.144,.169,.202,.119,,.466,.580,.407,.352,.398,.311,,.567,.910,,.032,199,,.311
Phoenix Suns,82,19805,.443,11.2,,.830,.323,.148,.147,.213,.170,,.464,.575,.395,.386,.398,.343,,.530,.850,,.055,339,,.251
Portland Trail Blazers,82,19855,.460,11.4,,.823,.317,.159,.132,.215,.177,,.488,.635,.407,.420,.374,.330,,.585,.881,,.059,350,,.237
Sacramento Kings,82,19830,.464,12.5,,.816,.282,.142,.099,.293,.184,,.482,.652,.380,.375,.405,.381,,.583,.874,,.048,308,,.208
San Antonio Spurs,82,19830,.462,11.2,,.798,.313,.189,.133,.163,.202,,.489,.634,.423,.388,.371,.354,,.499,.909,,.058,322,,.249
Seattle SuperSonics,82,19855,.437,12.6,,.804,.247,.177,.129,.250,.196,,.458,.633,.366,.426,.366,.353,,.560,.906,,.037,221,,.197
Toronto Raptors,82,19805,.427,12.4,,.821,.278,.135,.144,.263,.179,,.446,.586,.366,.381,.374,.343,,.510,.829,,.042,259,,.189
Utah Jazz,82,19780,.468,11.1,,.896,.337,.111,.139,.310,.104,,.481,.634,.338,.392,.406,.349,,.713,.884,,.039,231,,.273
Washington Wizards,82,19830,.440,12.7,,.873,.231,.130,.203,.309,.127,,.459,.623,.313,.423,.422,.312,,.541,.893,,.043,265,,.176
