team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19855,.483,13.2,,.669,.250,.186,.133,.091,.331,,.548,.696,.440,.486,.439,.352,,.488,.755,,.064,450,,.242
Boston Celtics,82,19980,.475,15.3,,.520,.210,.192,.063,.048,.480,,.567,.732,.466,.463,.390,.377,,.509,.814,,.051,335,,.272
Brooklyn Nets,82,19730,.487,14.6,,.603,.222,.177,.122,.082,.397,,.559,.701,.459,.489,.494,.378,,.525,.820,,.059,373,,.222
Chicago Bulls,82,19905,.490,13.6,,.667,.281,.146,.116,.125,.333,,.555,.683,.474,.464,.446,.361,,.474,.886,,.054,329,,.273
Charlotte Hornets,82,19830,.457,13.1,,.640,.287,.208,.087,.058,.360,,.528,.688,.384,.439,.385,.330,,.536,.817,,.073,482,,.287
Cleveland Cavaliers,82,19880,.488,13.2,,.629,.278,.196,.092,.054,.371,,.559,.717,.440,.450,.378,.367,,.545,.715,,.084,536,,.239
Dallas Mavericks,82,19930,.475,15.6,,.513,.218,.169,.080,.046,.487,,.574,.708,.499,.470,.396,.371,,.448,.776,,.050,304,,.226
Denver Nuggets,82,19755,.504,13.2,,.639,.258,.213,.083,.077,.361,,.575,.758,.477,.401,.421,.379,,.597,.808,,.080,509,,.279
Detroit Pistons,82,19805,.454,13.8,,.628,.217,.224,.111,.068,.372,,.516,.677,.431,.432,.413,.351,,.466,.832,,.060,396,,.249
Golden State Warriors,82,19830,.479,16.0,,.521,.177,.210,.069,.065,.479,,.564,.710,.540,.407,.413,.385,,.606,.828,,.056,374,,.273
Houston Rockets,82,19755,.457,13.0,,.641,.259,.262,.070,.049,.359,,.530,.678,.436,.448,.366,.327,,.477,.766,,.084,523,,.324
Indiana Pacers,82,19755,.469,13.9,,.587,.266,.189,.080,.045,.413,,.540,.679,.425,.414,.402,.367,,.547,.817,,.048,323,,.306
Los Angeles Clippers,82,19830,.477,14.5,,.613,.221,.190,.110,.092,.387,,.539,.692,.475,.450,.408,.381,,.467,.838,,.063,391,,.234
Los Angeles Lakers,82,19880,.482,13.2,,.649,.261,.214,.095,.079,.351,,.555,.728,.460,.425,.397,.346,,.502,.849,,.065,429,,.305
Memphis Grizzlies,82,19780,.475,13.0,,.628,.273,.224,.099,.033,.372,,.548,.688,.446,.447,.386,.351,,.504,.837,,.058,387,,.286
Miami Heat,82,19805,.460,14.5,,.592,.196,.217,.120,.052,.408,,.540,.683,.480,.471,.411,.344,,.511,.802,,.046,285,,.226
Milwaukee Bucks,82,19830,.473,15.3,,.554,.236,.156,.091,.071,.446,,.557,.724,.443,.429,.417,.368,,.489,.819,,.052,351,,.250
Minnesota Timberwolves,82,19830,.490,13.2,,.619,.285,.208,.075,.051,.381,,.568,.723,.439,.451,.399,.365,,.539,.790,,.067,436,,.297
New Orleans Pelicans,82,19855,.480,12.9,,.656,.255,.230,.099,.065,.344,,.541,.698,.444,.484,.343,.364,,.510,.883,,.063,402,,.289
New York Knicks,82,19955,.470,13.6,,.600,.266,.196,.096,.043,.400,,.547,.679,.460,.424,.404,.354,,.428,.820,,.066,425,,.246
Oklahoma City Thunder,82,19855,.465,13.1,,.631,.276,.217,.096,.043,.369,,.530,.658,.413,.469,.424,.356,,.444,.879,,.047,320,,.325
Orlando Magic,82,19780,.470,13.5,,.639,.249,.221,.094,.076,.361,,.539,.713,.440,.427,.398,.346,,.470,.858,,.064,395,,.297
Philadelphia 76ers,82,19880,.487,13.8,,.611,.251,.191,.109,.054,.389,,.551,.697,.429,.463,.472,.387,,.516,.806,,.044,262,,.274
Phoenix Suns,82,19780,.467,14.3,,.638,.194,.203,.159,.083,.362,,.520,.693,.442,.460,.424,.374,,.562,.856,,.047,306,,.205
Portland Trail Blazers,82,19730,.474,14.1,,.587,.288,.161,.069,.062,.413,,.550,.673,.434,.437,.414,.365,,.502,.774,,.058,357,,.276
Sacramento Kings,82,19830,.494,14.1,,.577,.243,.199,.080,.050,.423,,.586,.741,.488,.438,.450,.369,,.495,.875,,.059,380,,.261
San Antonio Spurs,82,19855,.465,13.1,,.652,.258,.230,.112,.053,.348,,.529,.679,.442,.412,.425,.345,,.530,.924,,.040,265,,.303
Toronto Raptors,82,19805,.459,13.4,,.649,.243,.220,.095,.084,.351,,.525,.694,.445,.406,.379,.335,,.474,.819,,.064,432,,.257
Utah Jazz,82,19805,.473,14.2,,.579,.204,.266,.073,.036,.421,,.560,.708,.497,.438,.439,.353,,.500,.854,,.071,460,,.274
Washington Wizards,82,19755,.485,14.0,,.635,.211,.244,.107,.073,.365,,.559,.760,.470,.460,.420,.356,,.508,.862,,.059,377,,.272
