team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19830,.458,13.4,,.684,.263,.174,.102,.145,.316,,.502,.643,.409,.419,.413,.363,,.598,.870,,.026,154,,.242
Boston Celtics,82,19730,.435,13.3,,.749,.273,.148,.109,.219,.251,,.470,.608,.348,.424,.402,.333,,.510,.852,,.039,239,,.217
Brooklyn Nets,82,19880,.459,13.6,,.699,.256,.171,.112,.160,.301,,.497,.642,.413,.427,.405,.369,,.491,.880,,.052,309,,.202
Charlotte Bobcats,82,19905,.442,12.6,,.781,.290,.151,.122,.218,.219,,.468,.607,.414,.409,.352,.351,,.539,.874,,.040,253,,.245
Chicago Bulls,82,19930,.432,12.7,,.778,.297,.148,.112,.222,.222,,.456,.597,.334,.373,.392,.348,,.611,.854,,.035,210,,.254
Cleveland Cavaliers,82,19930,.437,12.8,,.764,.269,.170,.128,.197,.236,,.461,.583,.388,.394,.402,.356,,.513,.820,,.045,278,,.212
Dallas Mavericks,82,19830,.474,13.2,,.726,.262,.156,.135,.173,.274,,.508,.655,.418,.426,.428,.384,,.520,.861,,.047,308,,.206
Denver Nuggets,82,19755,.447,12.5,,.722,.309,.182,.080,.150,.278,,.481,.634,.373,.351,.366,.358,,.518,.813,,.066,425,,.233
Detroit Pistons,82,19780,.447,11.1,,.778,.356,.197,.068,.157,.222,,.483,.640,.344,.369,.348,.321,,.493,.779,,.052,342,,.284
Golden State Warriors,82,19830,.462,13.4,,.709,.264,.176,.100,.169,.291,,.496,.654,.394,.396,.412,.380,,.540,.753,,.055,363,,.188
Houston Rockets,82,19830,.472,11.9,,.670,.341,.214,.049,.065,.330,,.529,.663,.405,.391,.343,.358,,.472,.834,,.078,481,,.276
Indiana Pacers,82,19780,.449,13.0,,.765,.249,.188,.124,.205,.235,,.477,.611,.418,.382,.425,.357,,.498,.831,,.030,180,,.218
Los Angeles Clippers,82,19755,.474,13.8,,.709,.267,.137,.097,.208,.291,,.525,.707,.408,.422,.415,.352,,.568,.847,,.081,496,,.188
Los Angeles Lakers,82,19705,.450,13.5,,.709,.247,.177,.116,.169,.291,,.478,.640,.407,.392,.375,.381,,.569,.854,,.045,283,,.202
Memphis Grizzlies,82,19805,.464,11.3,,.829,.301,.223,.115,.191,.171,,.487,.631,.411,.420,.390,.353,,.526,.894,,.036,222,,.245
Miami Heat,82,19880,.501,12.8,,.708,.330,.127,.084,.168,.292,,.558,.697,.467,.433,.413,.364,,.509,.880,,.064,383,,.255
Milwaukee Bucks,82,19880,.438,12.1,,.769,.314,.168,.106,.182,.231,,.464,.584,.365,.389,.392,.353,,.547,.812,,.038,232,,.250
Minnesota Timberwolves,82,19855,.444,12.1,,.755,.334,.157,.091,.174,.245,,.478,.619,.386,.348,.358,.341,,.564,.838,,.042,278,,.277
New Orleans Pelicans,82,19855,.459,11.5,,.807,.332,.183,.107,.184,.193,,.479,.598,.370,.419,.409,.373,,.506,.866,,.050,305,,.276
New York Knicks,82,19855,.449,14.4,,.698,.252,.112,.111,.222,.302,,.482,.628,.355,.412,.417,.372,,.450,.818,,.055,342,,.185
Oklahoma City Thunder,82,19805,.471,13.0,,.729,.282,.149,.131,.167,.271,,.512,.668,.391,.434,.418,.361,,.521,.715,,.071,445,,.193
Orlando Magic,82,19955,.445,13.1,,.765,.277,.152,.103,.232,.235,,.474,.601,.385,.434,.399,.353,,.523,.783,,.036,230,,.224
Philadelphia 76ers,82,19855,.435,11.4,,.742,.353,.190,.087,.111,.258,,.477,.601,.356,.374,.373,.312,,.507,.879,,.043,282,,.297
Phoenix Suns,82,19755,.463,13.1,,.700,.290,.149,.118,.143,.300,,.503,.648,.374,.430,.403,.372,,.388,.824,,.050,305,,.226
Portland Trail Blazers,82,19855,.450,13.9,,.710,.258,.133,.110,.208,.290,,.481,.628,.368,.387,.422,.372,,.523,.816,,.041,269,,.199
Sacramento Kings,82,19830,.447,12.3,,.782,.249,.239,.106,.188,.218,,.479,.665,.391,.412,.382,.333,,.463,.760,,.056,338,,.205
San Antonio Spurs,82,19755,.486,12.6,,.743,.287,.185,.090,.181,.257,,.517,.673,.437,.389,.413,.397,,.554,.872,,.033,204,,.252
Toronto Raptors,82,19955,.445,13.6,,.715,.226,.206,.103,.181,.285,,.475,.642,.417,.402,.372,.372,,.501,.835,,.043,260,,.177
Utah Jazz,82,19780,.444,12.7,,.763,.281,.177,.106,.199,.237,,.474,.653,.367,.374,.372,.344,,.486,.910,,.052,314,,.211
Washington Wizards,82,20055,.459,13.2,,.754,.273,.143,.116,.221,.246,,.485,.676,.374,.366,.384,.380,,.525,.895,,.046,305,,.218
