winner_team,winner_wins,winner_conference,winner_pg_g,winner_pg_mp,winner_pg_fg,winner_pg_fga,winner_pg_fg_pct,winner_pg_fg3,winner_pg_fg3a,winner_pg_fg3_pct,winner_pg_fg2,winner_pg_fg2a,winner_pg_fg2_pct,winner_pg_ft,winner_pg_fta,winner_pg_ft_pct,winner_pg_orb,winner_pg_drb,winner_pg_trb,winner_pg_ast,winner_pg_stl,winner_pg_blk,winner_pg_tov,winner_pg_pf,winner_pg_pts,winner_adv_age,winner_adv_wins,winner_adv_losses,winner_adv_wins_pyth,winner_adv_losses_pyth,winner_adv_mov,winner_adv_sos,winner_adv_srs,winner_adv_off_rtg,winner_adv_def_rtg,winner_adv_net_rtg,winner_adv_pace,winner_adv_fta_per_fga_pct,winner_adv_fg3a_per_fga_pct,winner_adv_ts_pct,winner_adv_efg_pct,winner_adv_tov_pct,winner_adv_orb_pct,winner_adv_ft_rate,winner_adv_opp_efg_pct,winner_adv_opp_tov_pct,winner_adv_drb_pct,winner_adv_opp_ft_rate,winner_pp_g,winner_pp_mp,winner_pp_fg,winner_pp_fga,winner_pp_fg_pct,winner_pp_fg3,winner_pp_fg3a,winner_pp_fg3_pct,winner_pp_fg2,winner_pp_fg2a,winner_pp_fg2_pct,winner_pp_ft,winner_pp_fta,winner_pp_ft_pct,winner_pp_orb,winner_pp_drb,winner_pp_trb,winner_pp_ast,winner_pp_stl,winner_pp_blk,winner_pp_tov,winner_pp_pf,winner_pp_pts,winner_sh_g,winner_sh_mp,winner_sh_fg_pct,winner_sh_avg_dist,winner_sh_pct_fga_fg2a,winner_sh_pct_fga_00_03,winner_sh_pct_fga_03_10,winner_sh_pct_fga_10_16,winner_sh_pct_fga_16_xx,winner_sh_pct_fga_fg3a,winner_sh_fg_pct_fg2a,winner_sh_fg_pct_00_03,winner_sh_fg_pct_03_10,winner_sh_fg_pct_10_16,winner_sh_fg_pct_16_xx,winner_sh_fg_pct_fg3a,winner_sh_pct_ast_fg2,winner_sh_pct_ast_fg3,winner_sh_pct_fga_dunk,winner_sh_fg_dunk,winner_sh_pct_fga_layup,winner_sh_fg_layup,winner_sh_pct_fg3a_corner,winner_sh_fg3_pct_corner,winner_sh_fg3a_heave,winner_sh_fg3_heave,loser_team,loser_wins,loser_conference,loser_pg_g,loser_pg_mp,loser_pg_fg,loser_pg_fga,loser_pg_fg_pct,loser_pg_fg3,loser_pg_fg3a,loser_pg_fg3_pct,loser_pg_fg2,loser_pg_fg2a,loser_pg_fg2_pct,loser_pg_ft,loser_pg_fta,loser_pg_ft_pct,loser_pg_orb,loser_pg_drb,loser_pg_trb,loser_pg_ast,loser_pg_stl,loser_pg_blk,loser_pg_tov,loser_pg_pf,loser_pg_pts,loser_adv_age,loser_adv_wins,loser_adv_losses,loser_adv_wins_pyth,loser_adv_losses_pyth,loser_adv_mov,loser_adv_sos,loser_adv_srs,loser_adv_off_rtg,loser_adv_def_rtg,loser_adv_net_rtg,loser_adv_pace,loser_adv_fta_per_fga_pct,loser_adv_fg3a_per_fga_pct,loser_adv_ts_pct,loser_adv_efg_pct,loser_adv_tov_pct,loser_adv_orb_pct,loser_adv_ft_rate,loser_adv_opp_efg_pct,loser_adv_opp_tov_pct,loser_adv_drb_pct,loser_adv_opp_ft_rate,loser_pp_g,loser_pp_mp,loser_pp_fg,loser_pp_fga,loser_pp_fg_pct,loser_pp_fg3,loser_pp_fg3a,loser_pp_fg3_pct,loser_pp_fg2,loser_pp_fg2a,loser_pp_fg2_pct,loser_pp_ft,loser_pp_fta,loser_pp_ft_pct,loser_pp_orb,loser_pp_drb,loser_pp_trb,loser_pp_ast,loser_pp_stl,loser_pp_blk,loser_pp_tov,loser_pp_pf,loser_pp_pts,loser_sh_g,loser_sh_mp,loser_sh_fg_pct,loser_sh_avg_dist,loser_sh_pct_fga_fg2a,loser_sh_pct_fga_00_03,loser_sh_pct_fga_03_10,loser_sh_pct_fga_10_16,loser_sh_pct_fga_16_xx,loser_sh_pct_fga_fg3a,loser_sh_fg_pct_fg2a,loser_sh_fg_pct_00_03,loser_sh_fg_pct_03_10,loser_sh_fg_pct_10_16,loser_sh_fg_pct_16_xx,loser_sh_fg_pct_fg3a,loser_sh_pct_ast_fg2,loser_sh_pct_ast_fg3,loser_sh_pct_fga_dunk,loser_sh_fg_dunk,loser_sh_pct_fga_layup,loser_sh_fg_layup,loser_sh_pct_fg3a_corner,loser_sh_fg3_pct_corner,loser_sh_fg3a_heave,loser_sh_fg3_heave,round,series_result,winner,loser
los angeles lakers,57,Western,82,241.8,38.3,83.8,0.457,6.5,19.0,0.341,31.9,64.8,0.492,18.5,24.2,0.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.0,0.496,12.4,27.6,0.221,0.0,0.484,13.2,82,19830,41.0,89.7,0.457,6.9,20.4,0.341,34.1,69.3,0.492,19.8,25.9,0.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8,82,19830,0.457,12.1,0.0,0.773,0.311,0.15,0.121,0.191,0.227,0.0,0.492,0.597,0.436,0.426,0.406,0.341,0.0,0.497,0.812,0.0,0.054,344,0.0,0.233,boston celtics,50,Eastern,82,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.0,0.522,14.5,22.8,0.248,0.0,0.487,14.9,82,19780,40.2,83.3,0.483,6.6,19.0,0.348,33.6,64.4,0.523,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,82,19780,0.483,11.9,0.0,0.772,0.339,0.139,0.107,0.188,0.228,0.0,0.523,0.65,0.419,0.423,0.425,0.348,0.0,0.585,0.89,0.0,0.036,206,0.0,0.299,Finals,4-3,los angeles lakers,boston celtics
boston celtics,50,Eastern,82,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.0,0.522,14.5,22.8,0.248,0.0,0.487,14.9,82,19780,40.2,83.3,0.483,6.6,19.0,0.348,33.6,64.4,0.523,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,82,19780,0.483,11.9,0.0,0.772,0.339,0.139,0.107,0.188,0.228,0.0,0.523,0.65,0.419,0.423,0.425,0.348,0.0,0.585,0.89,0.0,0.036,206,0.0,0.299,orlando magic,59,Eastern,82,240.6,36.6,78.0,0.47,10.3,27.3,0.375,26.4,50.6,0.521,19.2,26.5,0.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.0,0.536,13.6,24.6,0.246,0.0,0.477,12.2,82,19730,39.7,84.5,0.47,11.1,29.6,0.375,28.6,54.9,0.521,20.8,28.8,0.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4,82,19730,0.47,13.7,0.0,0.65,0.301,0.123,0.082,0.144,0.35,0.0,0.521,0.63,0.468,0.408,0.405,0.375,0.0,0.421,0.837,0.0,0.057,345,0.0,0.224,Eastern Conference Finals,4-2,boston celtics,orlando magic
los angeles lakers,57,Western,82,241.8,38.3,83.8,0.457,6.5,19.0,0.341,31.9,64.8,0.492,18.5,24.2,0.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.0,0.496,12.4,27.6,0.221,0.0,0.484,13.2,82,19830,41.0,89.7,0.457,6.9,20.4,0.341,34.1,69.3,0.492,19.8,25.9,0.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8,82,19830,0.457,12.1,0.0,0.773,0.311,0.15,0.121,0.191,0.227,0.0,0.492,0.597,0.436,0.426,0.406,0.341,0.0,0.497,0.812,0.0,0.054,344,0.0,0.233,phoenix suns,54,Western,82,240.6,40.7,82.8,0.492,8.9,21.6,0.412,31.8,61.2,0.52,19.9,25.8,0.77,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2,28.5,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.0,0.546,13.6,27.6,0.24,0.0,0.491,11.6,82,19730,42.6,86.6,0.492,9.3,22.6,0.412,33.3,64.0,0.52,20.8,27.0,0.77,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3,82,19730,0.492,12.5,0.0,0.739,0.312,0.135,0.106,0.185,0.261,0.0,0.52,0.637,0.462,0.44,0.409,0.412,0.0,0.509,0.801,0.0,0.064,380,0.0,0.23,Western Conference Finals,4-2,los angeles lakers,phoenix suns
boston celtics,50,Eastern,82,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.0,0.522,14.5,22.8,0.248,0.0,0.487,14.9,82,19780,40.2,83.3,0.483,6.6,19.0,0.348,33.6,64.4,0.523,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,82,19780,0.483,11.9,0.0,0.772,0.339,0.139,0.107,0.188,0.228,0.0,0.523,0.65,0.419,0.423,0.425,0.348,0.0,0.585,0.89,0.0,0.036,206,0.0,0.299,cleveland cavaliers,61,Eastern,82,241.2,37.8,77.9,0.485,7.3,19.3,0.381,30.5,58.6,0.52,19.1,26.6,0.72,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.0,0.532,13.4,25.1,0.246,0.0,0.482,12.3,82,19780,41.2,84.9,0.485,8.0,21.0,0.381,33.2,63.9,0.52,20.8,29.0,0.72,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,82,19780,0.485,12.5,0.0,0.752,0.339,0.119,0.08,0.214,0.248,0.0,0.52,0.667,0.443,0.369,0.387,0.381,0.0,0.551,0.762,0.0,0.073,427,0.0,0.248,Eastern Conference Semifinals,4-2,boston celtics,cleveland cavaliers
orlando magic,59,Eastern,82,240.6,36.6,78.0,0.47,10.3,27.3,0.375,26.4,50.6,0.521,19.2,26.5,0.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.0,0.536,13.6,24.6,0.246,0.0,0.477,12.2,82,19730,39.7,84.5,0.47,11.1,29.6,0.375,28.6,54.9,0.521,20.8,28.8,0.724,10.7,36.2,46.9,21.3,6.8,6.0,15.3,21.5,111.4,82,19730,0.47,13.7,0.0,0.65,0.301,0.123,0.082,0.144,0.35,0.0,0.521,0.63,0.468,0.408,0.405,0.375,0.0,0.421,0.837,0.0,0.057,345,0.0,0.224,atlanta hawks,53,Eastern,82,242.1,38.8,82.9,0.468,6.4,17.7,0.36,32.4,65.2,0.497,17.7,23.3,0.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.0,0.506,11.4,28.2,0.213,0.0,0.496,13.2,82,19855,42.7,91.2,0.468,7.0,19.5,0.36,35.6,71.7,0.497,19.5,25.7,0.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9,82,19855,0.468,12.3,0.0,0.786,0.296,0.167,0.087,0.237,0.214,0.0,0.497,0.638,0.435,0.417,0.394,0.36,0.0,0.51,0.828,0.0,0.057,366,0.0,0.219,Eastern Conference Semifinals,4-0,orlando magic,atlanta hawks
los angeles lakers,57,Western,82,241.8,38.3,83.8,0.457,6.5,19.0,0.341,31.9,64.8,0.492,18.5,24.2,0.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.0,0.496,12.4,27.6,0.221,0.0,0.484,13.2,82,19830,41.0,89.7,0.457,6.9,20.4,0.341,34.1,69.3,0.492,19.8,25.9,0.765,12.7,34.7,47.4,22.6,8.0,5.2,14.3,20.8,108.8,82,19830,0.457,12.1,0.0,0.773,0.311,0.15,0.121,0.191,0.227,0.0,0.492,0.597,0.436,0.426,0.406,0.341,0.0,0.497,0.812,0.0,0.054,344,0.0,0.233,utah jazz,53,Western,82,240.9,39.4,80.2,0.491,5.4,14.7,0.364,34.0,65.5,0.519,20.2,27.2,0.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.184,0.565,0.0,0.524,14.2,26.8,0.252,0.0,0.492,14.2,82,19755,41.8,85.1,0.491,5.7,15.6,0.364,36.1,69.5,0.519,21.4,28.9,0.741,11.3,33.5,44.8,28.3,8.7,5.2,16.1,24.1,110.7,82,19755,0.491,10.9,0.0,0.816,0.383,0.121,0.092,0.22,0.184,0.0,0.519,0.637,0.422,0.409,0.415,0.364,0.0,0.652,0.841,0.0,0.064,375,0.0,0.297,Western Conference Semifinals,4-0,los angeles lakers,utah jazz
phoenix suns,54,Western,82,240.6,40.7,82.8,0.492,8.9,21.6,0.412,31.8,61.2,0.52,19.9,25.8,0.77,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2,28.5,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.0,0.546,13.6,27.6,0.24,0.0,0.491,11.6,82,19730,42.6,86.6,0.492,9.3,22.6,0.412,33.3,64.0,0.52,20.8,27.0,0.77,11.6,33.4,45.0,24.4,6.1,5.3,15.4,21.9,115.3,82,19730,0.492,12.5,0.0,0.739,0.312,0.135,0.106,0.185,0.261,0.0,0.52,0.637,0.462,0.44,0.409,0.412,0.0,0.509,0.801,0.0,0.064,380,0.0,0.23,san antonio spurs,50,Western,82,241.2,38.4,81.2,0.473,6.8,18.9,0.358,31.7,62.3,0.508,17.8,24.0,0.74,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4,101.4,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.296,0.232,0.552,0.0,0.515,12.9,26.8,0.219,0.0,0.483,12.1,82,19780,41.7,88.1,0.473,7.3,20.5,0.358,34.4,67.7,0.508,19.3,26.1,0.74,11.7,34.7,46.4,24.2,6.8,5.0,14.8,22.1,110.0,82,19780,0.473,12.2,0.0,0.768,0.312,0.146,0.108,0.203,0.232,0.0,0.508,0.649,0.431,0.388,0.408,0.358,0.0,0.514,0.892,0.0,0.032,198,0.0,0.269,Western Conference Semifinals,4-0,phoenix suns,san antonio spurs
atlanta hawks,53,Eastern,82,242.1,38.8,82.9,0.468,6.4,17.7,0.36,32.4,65.2,0.497,17.7,23.3,0.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.0,0.506,11.4,28.2,0.213,0.0,0.496,13.2,82,19855,42.7,91.2,0.468,7.0,19.5,0.36,35.6,71.7,0.497,19.5,25.7,0.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9,82,19855,0.468,12.3,0.0,0.786,0.296,0.167,0.087,0.237,0.214,0.0,0.497,0.638,0.435,0.417,0.394,0.36,0.0,0.51,0.828,0.0,0.057,366,0.0,0.219,milwaukee bucks,46,Eastern,82,243.7,37.2,85.3,0.436,7.9,22.1,0.356,29.3,63.2,0.464,15.4,20.4,0.755,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2,97.7,26.4,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.0,0.482,12.3,26.2,0.181,0.0,0.486,14.6,82,19980,40.0,91.7,0.436,8.5,23.8,0.356,31.5,67.9,0.464,16.6,21.9,0.755,12.6,33.5,46.2,22.8,7.6,5.0,14.2,23.9,104.9,82,19980,0.436,13.0,0.0,0.741,0.288,0.13,0.114,0.209,0.259,0.0,0.464,0.56,0.411,0.375,0.413,0.356,0.0,0.495,0.851,0.0,0.029,184,0.0,0.231,Eastern Conference First Round,4-3,atlanta hawks,milwaukee bucks
boston celtics,50,Eastern,82,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.0,0.522,14.5,22.8,0.248,0.0,0.487,14.9,82,19780,40.2,83.3,0.483,6.6,19.0,0.348,33.6,64.4,0.523,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,82,19780,0.483,11.9,0.0,0.772,0.339,0.139,0.107,0.188,0.228,0.0,0.523,0.65,0.419,0.423,0.425,0.348,0.0,0.585,0.89,0.0,0.036,206,0.0,0.299,miami heat,47,Eastern,82,242.4,36.4,79.5,0.458,6.0,17.4,0.346,30.4,62.1,0.489,17.7,23.5,0.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.296,0.219,0.537,0.0,0.496,12.8,26.1,0.223,0.0,0.48,13.9,82,19880,40.2,87.8,0.458,6.7,19.2,0.346,33.5,68.6,0.489,19.6,26.0,0.752,11.8,34.4,46.2,20.9,8.2,6.2,14.5,23.0,106.6,82,19880,0.458,13.0,0.0,0.781,0.272,0.114,0.14,0.256,0.219,0.0,0.489,0.641,0.445,0.393,0.399,0.346,0.0,0.461,0.81,0.0,0.061,363,0.0,0.192,Eastern Conference First Round,4-1,boston celtics,miami heat
cleveland cavaliers,61,Eastern,82,241.2,37.8,77.9,0.485,7.3,19.3,0.381,30.5,58.6,0.52,19.1,26.6,0.72,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.0,0.532,13.4,25.1,0.246,0.0,0.482,12.3,82,19780,41.2,84.9,0.485,8.0,21.0,0.381,33.2,63.9,0.52,20.8,29.0,0.72,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,82,19780,0.485,12.5,0.0,0.752,0.339,0.119,0.08,0.214,0.248,0.0,0.52,0.667,0.443,0.369,0.387,0.381,0.0,0.551,0.762,0.0,0.073,427,0.0,0.248,chicago bulls,41,Eastern,82,242.7,37.6,83.2,0.451,4.3,13.0,0.33,33.3,70.2,0.474,18.0,23.9,0.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5,26.2,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.0,0.477,13.3,26.6,0.217,0.0,0.484,12.3,82,19905,39.9,88.4,0.451,4.6,13.8,0.33,35.3,74.6,0.474,19.2,25.4,0.754,12.1,35.2,47.3,22.1,6.9,6.2,15.2,21.3,103.5,82,19905,0.451,11.9,0.0,0.844,0.331,0.105,0.108,0.3,0.156,0.0,0.474,0.575,0.432,0.418,0.398,0.33,0.0,0.51,0.884,0.0,0.049,302,0.0,0.255,Eastern Conference First Round,4-1,cleveland cavaliers,chicago bulls
