round,matchup,winner
Eastern Play-In 7v8,brooklyn nets vs orlando magic,brooklyn nets
Eastern Play-In 9v10,washington wizards vs charlotte hornets,washington wizards
Eastern Play-In Final,orlando magic vs washington wizards,orlando magic
Western Play-In 7v8,dallas mavericks vs portland trail blazers,dallas mavericks
Western Play-In 9v10,memphis grizzlies vs phoenix suns,memphis grizzlies
Western Play-In Final,portland trail blazers vs memphis grizzlies,portland trail blazers
Eastern First Round,milwaukee bucks vs orlando magic,milwaukee bucks
Eastern First Round,toronto raptors vs brooklyn nets,toronto raptors
Eastern First Round,boston celtics vs philadelphia 76ers,boston celtics
Eastern First Round,indiana pacers vs miami heat,indiana pacers
Eastern Semifinals,milwaukee bucks vs toronto raptors,milwaukee bucks
Eastern Semifinals,boston celtics vs indiana pacers,boston celtics
Eastern Finals,milwaukee bucks vs boston celtics,milwaukee bucks
Western First Round,los angeles lakers vs portland trail blazers,los angeles lakers
Western First Round,los angeles clippers vs dallas mavericks,los angeles clippers
Western First Round,denver nuggets vs utah jazz,denver nuggets
Western First Round,houston rockets vs oklahoma city thunder,houston rockets
Western Semifinals,los angeles lakers vs los angeles clippers,los angeles lakers
Western Semifinals,denver nuggets vs houston rockets,denver nuggets
Western Finals,los angeles lakers vs denver nuggets,los angeles lakers
NBA Finals,milwaukee bucks vs los angeles lakers,milwaukee bucks
