round,matchup,winner
Eastern First Round,philadelphia 76ers vs washington wizards,philadelphia 76ers
Eastern First Round,brooklyn nets vs boston celtics,brooklyn nets
Eastern First Round,milwaukee bucks vs miami heat,milwaukee bucks
Eastern First Round,atlanta hawks vs new york knicks,atlanta hawks
Eastern Semifinals,philadelphia 76ers vs brooklyn nets,philadelphia 76ers
Eastern Semifinals,milwaukee bucks vs atlanta hawks,milwaukee bucks
Eastern Finals,philadelphia 76ers vs milwaukee bucks,philadelphia 76ers
Western First Round,utah jazz vs golden state warriors,utah jazz
Western First Round,phoenix suns vs portland trail blazers,phoenix suns
Western First Round,denver nuggets vs los angeles lakers,denver nuggets
Western First Round,los angeles clippers vs dallas mavericks,los angeles clippers
Western Semifinals,utah jazz vs phoenix suns,utah jazz
Western Semifinals,denver nuggets vs los angeles clippers,denver nuggets
Western Finals,utah jazz vs denver nuggets,utah jazz
NBA Finals,philadelphia 76ers vs utah jazz,philadelphia 76ers
