winner_team,winner_wins,winner_conference,winner_pg_g,winner_pg_mp,winner_pg_fg,winner_pg_fga,winner_pg_fg_pct,winner_pg_fg3,winner_pg_fg3a,winner_pg_fg3_pct,winner_pg_fg2,winner_pg_fg2a,winner_pg_fg2_pct,winner_pg_ft,winner_pg_fta,winner_pg_ft_pct,winner_pg_orb,winner_pg_drb,winner_pg_trb,winner_pg_ast,winner_pg_stl,winner_pg_blk,winner_pg_tov,winner_pg_pf,winner_pg_pts,winner_adv_age,winner_adv_wins,winner_adv_losses,winner_adv_wins_pyth,winner_adv_losses_pyth,winner_adv_mov,winner_adv_sos,winner_adv_srs,winner_adv_off_rtg,winner_adv_def_rtg,winner_adv_net_rtg,winner_adv_pace,winner_adv_fta_per_fga_pct,winner_adv_fg3a_per_fga_pct,winner_adv_ts_pct,winner_adv_efg_pct,winner_adv_tov_pct,winner_adv_orb_pct,winner_adv_ft_rate,winner_adv_opp_efg_pct,winner_adv_opp_tov_pct,winner_adv_drb_pct,winner_adv_opp_ft_rate,winner_pp_g,winner_pp_mp,winner_pp_fg,winner_pp_fga,winner_pp_fg_pct,winner_pp_fg3,winner_pp_fg3a,winner_pp_fg3_pct,winner_pp_fg2,winner_pp_fg2a,winner_pp_fg2_pct,winner_pp_ft,winner_pp_fta,winner_pp_ft_pct,winner_pp_orb,winner_pp_drb,winner_pp_trb,winner_pp_ast,winner_pp_stl,winner_pp_blk,winner_pp_tov,winner_pp_pf,winner_pp_pts,winner_sh_g,winner_sh_mp,winner_sh_fg_pct,winner_sh_avg_dist,winner_sh_pct_fga_fg2a,winner_sh_pct_fga_00_03,winner_sh_pct_fga_03_10,winner_sh_pct_fga_10_16,winner_sh_pct_fga_16_xx,winner_sh_pct_fga_fg3a,winner_sh_fg_pct_fg2a,winner_sh_fg_pct_00_03,winner_sh_fg_pct_03_10,winner_sh_fg_pct_10_16,winner_sh_fg_pct_16_xx,winner_sh_fg_pct_fg3a,winner_sh_pct_ast_fg2,winner_sh_pct_ast_fg3,winner_sh_pct_fga_dunk,winner_sh_fg_dunk,winner_sh_pct_fga_layup,winner_sh_fg_layup,winner_sh_pct_fg3a_corner,winner_sh_fg3_pct_corner,winner_sh_fg3a_heave,winner_sh_fg3_heave,loser_team,loser_wins,loser_conference,loser_pg_g,loser_pg_mp,loser_pg_fg,loser_pg_fga,loser_pg_fg_pct,loser_pg_fg3,loser_pg_fg3a,loser_pg_fg3_pct,loser_pg_fg2,loser_pg_fg2a,loser_pg_fg2_pct,loser_pg_ft,loser_pg_fta,loser_pg_ft_pct,loser_pg_orb,loser_pg_drb,loser_pg_trb,loser_pg_ast,loser_pg_stl,loser_pg_blk,loser_pg_tov,loser_pg_pf,loser_pg_pts,loser_adv_age,loser_adv_wins,loser_adv_losses,loser_adv_wins_pyth,loser_adv_losses_pyth,loser_adv_mov,loser_adv_sos,loser_adv_srs,loser_adv_off_rtg,loser_adv_def_rtg,loser_adv_net_rtg,loser_adv_pace,loser_adv_fta_per_fga_pct,loser_adv_fg3a_per_fga_pct,loser_adv_ts_pct,loser_adv_efg_pct,loser_adv_tov_pct,loser_adv_orb_pct,loser_adv_ft_rate,loser_adv_opp_efg_pct,loser_adv_opp_tov_pct,loser_adv_drb_pct,loser_adv_opp_ft_rate,loser_pp_g,loser_pp_mp,loser_pp_fg,loser_pp_fga,loser_pp_fg_pct,loser_pp_fg3,loser_pp_fg3a,loser_pp_fg3_pct,loser_pp_fg2,loser_pp_fg2a,loser_pp_fg2_pct,loser_pp_ft,loser_pp_fta,loser_pp_ft_pct,loser_pp_orb,loser_pp_drb,loser_pp_trb,loser_pp_ast,loser_pp_stl,loser_pp_blk,loser_pp_tov,loser_pp_pf,loser_pp_pts,loser_sh_g,loser_sh_mp,loser_sh_fg_pct,loser_sh_avg_dist,loser_sh_pct_fga_fg2a,loser_sh_pct_fga_00_03,loser_sh_pct_fga_03_10,loser_sh_pct_fga_10_16,loser_sh_pct_fga_16_xx,loser_sh_pct_fga_fg3a,loser_sh_fg_pct_fg2a,loser_sh_fg_pct_00_03,loser_sh_fg_pct_03_10,loser_sh_fg_pct_10_16,loser_sh_fg_pct_16_xx,loser_sh_fg_pct_fg3a,loser_sh_pct_ast_fg2,loser_sh_pct_ast_fg3,loser_sh_pct_fga_dunk,loser_sh_fg_dunk,loser_sh_pct_fga_layup,loser_sh_fg_layup,loser_sh_pct_fg3a_corner,loser_sh_fg3_pct_corner,loser_sh_fg3a_heave,loser_sh_fg3_heave,round,series_result,winner,loser
miami heat,66,Eastern,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.0,0.552,13.7,22.2,0.224,0.0,0.487,14.8,82,19880,41.9,84.5,0.496,9.5,24.1,0.396,32.4,60.4,0.536,18.9,25.1,0.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3,82,19880,0.496,13.2,0.0,0.715,0.297,0.127,0.099,0.192,0.285,0.0,0.536,0.704,0.401,0.387,0.441,0.396,0.0,0.522,0.866,0.0,0.066,392,0.0,0.223,san antonio spurs,58,Western,82,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.0,0.531,14.0,20.5,0.204,0.0,0.48,13.7,82,19880,41.1,85.6,0.481,8.5,22.6,0.376,32.6,62.9,0.519,17.5,22.1,0.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3,82,19880,0.481,12.5,0.0,0.736,0.298,0.178,0.096,0.163,0.264,0.0,0.519,0.663,0.411,0.433,0.423,0.376,0.0,0.572,0.905,0.0,0.034,207,0.0,0.269,Finals,4-3,miami heat,san antonio spurs
miami heat,66,Eastern,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.0,0.552,13.7,22.2,0.224,0.0,0.487,14.8,82,19880,41.9,84.5,0.496,9.5,24.1,0.396,32.4,60.4,0.536,18.9,25.1,0.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3,82,19880,0.496,13.2,0.0,0.715,0.297,0.127,0.099,0.192,0.285,0.0,0.536,0.704,0.401,0.387,0.441,0.396,0.0,0.522,0.866,0.0,0.066,392,0.0,0.223,indiana pacers,49,Eastern,81,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.0,0.479,14.3,30.3,0.219,0.0,0.453,12.9,81,19590,38.7,88.6,0.436,7.5,21.7,0.347,31.1,66.9,0.465,19.4,26.0,0.746,14.2,36.3,50.5,22.3,7.9,7.0,16.7,22.1,104.3,81,19590,0.436,12.7,0.0,0.755,0.271,0.19,0.116,0.178,0.245,0.0,0.465,0.612,0.399,0.375,0.371,0.347,0.0,0.513,0.847,0.0,0.048,283,0.0,0.203,Eastern Conference Finals,4-3,miami heat,indiana pacers
san antonio spurs,58,Western,82,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.0,0.531,14.0,20.5,0.204,0.0,0.48,13.7,82,19880,41.1,85.6,0.481,8.5,22.6,0.376,32.6,62.9,0.519,17.5,22.1,0.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3,82,19880,0.481,12.5,0.0,0.736,0.298,0.178,0.096,0.163,0.264,0.0,0.519,0.663,0.411,0.433,0.423,0.376,0.0,0.572,0.905,0.0,0.034,207,0.0,0.269,memphis grizzlies,56,Western,82,241.5,36.1,81.5,0.444,4.7,13.5,0.345,31.5,68.0,0.463,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.0,0.472,13.3,31.0,0.202,0.0,0.475,15.2,82,19805,40.6,91.5,0.444,5.2,15.2,0.345,35.4,76.4,0.463,18.5,23.9,0.773,14.5,33.5,48.0,23.5,9.6,6.0,15.7,22.7,104.9,82,19805,0.444,11.5,0.0,0.834,0.304,0.196,0.125,0.21,0.166,0.0,0.463,0.583,0.383,0.405,0.4,0.345,0.0,0.533,0.885,0.0,0.044,255,0.0,0.238,Western Conference Finals,4-0,san antonio spurs,memphis grizzlies
indiana pacers,49,Eastern,81,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.0,0.479,14.3,30.3,0.219,0.0,0.453,12.9,81,19590,38.7,88.6,0.436,7.5,21.7,0.347,31.1,66.9,0.465,19.4,26.0,0.746,14.2,36.3,50.5,22.3,7.9,7.0,16.7,22.1,104.3,81,19590,0.436,12.7,0.0,0.755,0.271,0.19,0.116,0.178,0.245,0.0,0.465,0.612,0.399,0.375,0.371,0.347,0.0,0.513,0.847,0.0,0.048,283,0.0,0.203,new york knicks,54,Eastern,82,240.6,36.5,81.6,0.448,10.9,28.9,0.376,25.7,52.7,0.487,16.0,21.1,0.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,0.0,0.515,11.7,25.6,0.196,0.0,0.508,14.8,82,19730,40.6,90.6,0.448,12.1,32.1,0.376,28.5,58.5,0.487,17.8,23.4,0.759,12.1,33.0,45.1,21.4,9.1,4.0,13.4,22.4,111.1,82,19730,0.448,14.6,0.0,0.646,0.28,0.096,0.083,0.188,0.354,0.0,0.487,0.613,0.372,0.38,0.407,0.376,0.0,0.398,0.833,0.0,0.049,302,0.0,0.218,Eastern Conference Semifinals,4-2,indiana pacers,new york knicks
miami heat,66,Eastern,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.0,0.552,13.7,22.2,0.224,0.0,0.487,14.8,82,19880,41.9,84.5,0.496,9.5,24.1,0.396,32.4,60.4,0.536,18.9,25.1,0.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3,82,19880,0.496,13.2,0.0,0.715,0.297,0.127,0.099,0.192,0.285,0.0,0.536,0.704,0.401,0.387,0.441,0.396,0.0,0.522,0.866,0.0,0.066,392,0.0,0.223,chicago bulls,45,Eastern,82,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.0,0.47,13.6,29.4,0.201,0.0,0.477,13.2,82,19830,39.6,90.7,0.437,6.0,17.1,0.353,33.6,73.6,0.456,18.2,23.5,0.773,13.9,34.1,48.0,25.5,8.0,5.6,15.9,21.9,103.5,82,19830,0.437,12.2,0.0,0.811,0.306,0.139,0.14,0.226,0.189,0.0,0.456,0.615,0.333,0.376,0.367,0.353,0.0,0.61,0.839,0.0,0.039,240,0.0,0.247,Eastern Conference Semifinals,4-1,miami heat,chicago bulls
memphis grizzlies,56,Western,82,241.5,36.1,81.5,0.444,4.7,13.5,0.345,31.5,68.0,0.463,16.5,21.3,0.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4,27.0,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,0.0,0.472,13.3,31.0,0.202,0.0,0.475,15.2,82,19805,40.6,91.5,0.444,5.2,15.2,0.345,35.4,76.4,0.463,18.5,23.9,0.773,14.5,33.5,48.0,23.5,9.6,6.0,15.7,22.7,104.9,82,19805,0.444,11.5,0.0,0.834,0.304,0.196,0.125,0.21,0.166,0.0,0.463,0.583,0.383,0.405,0.4,0.345,0.0,0.533,0.885,0.0,0.044,255,0.0,0.238,oklahoma city thunder,60,Western,82,241.8,38.1,79.3,0.481,7.3,19.4,0.377,30.8,60.0,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,26.0,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,0.0,0.527,14.4,26.7,0.28,0.0,0.469,13.5,82,19830,40.5,84.3,0.481,7.8,20.6,0.377,32.8,63.7,0.514,23.6,28.5,0.828,11.1,35.3,46.4,22.7,8.8,8.1,16.2,21.4,112.4,82,19830,0.481,12.6,0.0,0.756,0.294,0.146,0.13,0.186,0.244,0.0,0.514,0.677,0.389,0.437,0.409,0.377,0.0,0.492,0.851,0.0,0.071,418,0.0,0.207,Western Conference Semifinals,4-1,memphis grizzlies,oklahoma city thunder
san antonio spurs,58,Western,82,242.4,39.1,81.4,0.481,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.0,0.531,14.0,20.5,0.204,0.0,0.48,13.7,82,19880,41.1,85.6,0.481,8.5,22.6,0.376,32.6,62.9,0.519,17.5,22.1,0.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3,82,19880,0.481,12.5,0.0,0.736,0.298,0.178,0.096,0.163,0.264,0.0,0.519,0.663,0.411,0.433,0.423,0.376,0.0,0.572,0.905,0.0,0.034,207,0.0,0.269,golden state warriors,47,Western,82,241.5,38.2,83.4,0.458,8.0,19.9,0.403,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,0.0,0.506,14.0,25.4,0.201,0.0,0.486,12.4,82,19805,40.2,87.7,0.458,8.4,20.9,0.403,31.7,66.8,0.475,17.7,22.4,0.79,11.4,35.9,47.3,23.7,7.3,4.4,15.9,22.5,106.4,82,19805,0.458,13.5,0.0,0.761,0.242,0.173,0.118,0.229,0.239,0.0,0.475,0.65,0.361,0.391,0.418,0.403,0.0,0.542,0.769,0.0,0.045,284,0.0,0.188,Western Conference Semifinals,4-2,san antonio spurs,golden state warriors
chicago bulls,45,Eastern,82,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2,28.0,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.0,0.47,13.6,29.4,0.201,0.0,0.477,13.2,82,19830,39.6,90.7,0.437,6.0,17.1,0.353,33.6,73.6,0.456,18.2,23.5,0.773,13.9,34.1,48.0,25.5,8.0,5.6,15.9,21.9,103.5,82,19830,0.437,12.2,0.0,0.811,0.306,0.139,0.14,0.226,0.189,0.0,0.456,0.615,0.333,0.376,0.367,0.353,0.0,0.61,0.839,0.0,0.039,240,0.0,0.247,brooklyn nets,49,Eastern,82,242.1,35.9,79.8,0.45,7.7,21.5,0.357,28.2,58.3,0.484,17.5,23.9,0.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.0,0.498,14.0,30.9,0.219,0.0,0.503,13.1,82,19855,40.1,89.1,0.45,8.6,24.0,0.357,31.5,65.1,0.484,19.5,26.7,0.731,14.3,33.5,47.8,22.7,8.2,5.3,16.4,20.4,108.2,82,19855,0.45,12.6,0.0,0.731,0.272,0.203,0.102,0.154,0.269,0.0,0.484,0.623,0.405,0.397,0.4,0.357,0.0,0.484,0.871,0.0,0.041,249,0.0,0.231,Eastern Conference First Round,4-3,chicago bulls,brooklyn nets
indiana pacers,49,Eastern,81,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.0,0.479,14.3,30.3,0.219,0.0,0.453,12.9,81,19590,38.7,88.6,0.436,7.5,21.7,0.347,31.1,66.9,0.465,19.4,26.0,0.746,14.2,36.3,50.5,22.3,7.9,7.0,16.7,22.1,104.3,81,19590,0.436,12.7,0.0,0.755,0.271,0.19,0.116,0.178,0.245,0.0,0.465,0.612,0.399,0.375,0.371,0.347,0.0,0.513,0.847,0.0,0.048,283,0.0,0.203,atlanta hawks,44,Eastern,82,242.1,37.6,81.0,0.464,8.6,23.2,0.371,29.0,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.0,0.517,14.2,22.2,0.174,0.0,0.496,14.2,82,19855,40.2,86.7,0.464,9.2,24.8,0.371,31.0,61.9,0.501,15.1,21.1,0.715,9.9,33.8,43.7,26.2,8.7,4.8,15.9,19.2,104.8,82,19855,0.464,13.4,0.0,0.714,0.281,0.152,0.073,0.208,0.286,0.0,0.501,0.678,0.382,0.387,0.389,0.371,0.0,0.585,0.874,0.0,0.052,323,0.0,0.222,Eastern Conference First Round,4-2,indiana pacers,atlanta hawks
miami heat,66,Eastern,82,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,0.0,0.552,13.7,22.2,0.224,0.0,0.487,14.8,82,19880,41.9,84.5,0.496,9.5,24.1,0.396,32.4,60.4,0.536,18.9,25.1,0.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3,82,19880,0.496,13.2,0.0,0.715,0.297,0.127,0.099,0.192,0.285,0.0,0.536,0.704,0.401,0.387,0.441,0.396,0.0,0.522,0.866,0.0,0.066,392,0.0,0.223,milwaukee bucks,38,Eastern,82,241.8,38.1,87.8,0.435,7.3,20.4,0.36,30.8,67.4,0.457,15.3,20.7,0.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.0,0.476,12.7,27.9,0.174,0.0,0.492,14.4,82,19830,40.0,92.0,0.435,7.7,21.3,0.36,32.3,70.6,0.457,16.0,21.7,0.736,13.7,32.4,46.1,24.0,8.8,7.0,14.8,19.9,103.6,82,19830,0.435,12.2,0.0,0.768,0.32,0.143,0.122,0.183,0.232,0.0,0.457,0.589,0.331,0.391,0.369,0.36,0.0,0.548,0.817,0.0,0.04,269,0.0,0.252,Eastern Conference First Round,4-0,miami heat,milwaukee bucks
