round,matchup,winner
Eastern Play-In 7v8,philadelphia 76ers vs miami heat,philadelphia 76ers
Eastern Play-In 9v10,chicago bulls vs atlanta hawks,chicago bulls
Eastern Play-In Final,miami heat vs chicago bulls,miami heat
Western Play-In 7v8,phoenix suns vs los angeles lakers,phoenix suns
Western Play-In 9v10,golden state warriors vs sacramento kings,golden state warriors
Western Play-In Final,los angeles lakers vs golden state warriors,los angeles lakers
Eastern First Round,boston celtics vs miami heat,boston celtics
Eastern First Round,cleveland cavaliers vs indiana pacers,cleveland cavaliers
Eastern First Round,milwaukee bucks vs orlando magic,milwaukee bucks
Eastern First Round,new york knicks vs philadelphia 76ers,new york knicks
Eastern Semifinals,boston celtics vs cleveland cavaliers,boston celtics
Eastern Semifinals,milwaukee bucks vs new york knicks,milwaukee bucks
Eastern Finals,boston celtics vs milwaukee bucks,boston celtics
Western First Round,denver nuggets vs los angeles lakers,denver nuggets
Western First Round,los angeles clippers vs dallas mavericks,los angeles clippers
Western First Round,minnesota timberwolves vs new orleans pelicans,minnesota timberwolves
Western First Round,oklahoma city thunder vs phoenix suns,oklahoma city thunder
Western Semifinals,denver nuggets vs los angeles clippers,denver nuggets
Western Semifinals,minnesota timberwolves vs oklahoma city thunder,minnesota timberwolves
Western Finals,denver nuggets vs minnesota timberwolves,denver nuggets
NBA Finals,boston celtics vs denver nuggets,boston celtics
