round,matchup,winner
Eastern Play-In 7v8,orlando magic vs atlanta hawks,orlando magic
Eastern Play-In 9v10,chicago bulls vs miami heat,chicago bulls
Eastern Play-In Final,atlanta hawks vs chicago bulls,atlanta hawks
Western Play-In 7v8,golden state warriors vs memphis grizzlies,golden state warriors
Western Play-In 9v10,sacramento kings vs dallas mavericks,sacramento kings
Western Play-In Final,memphis grizzlies vs sacramento kings,memphis grizzlies
Eastern First Round,cleveland cavaliers vs atlanta hawks,cleveland cavaliers
Eastern First Round,boston celtics vs orlando magic,boston celtics
Eastern First Round,new york knicks vs detroit pistons,new york knicks
Eastern First Round,indiana pacers vs milwaukee bucks,indiana pacers
Eastern Semifinals,cleveland cavaliers vs boston celtics,cleveland cavaliers
Eastern Semifinals,new york knicks vs indiana pacers,new york knicks
Eastern Finals,cleveland cavaliers vs new york knicks,cleveland cavaliers
Western First Round,oklahoma city thunder vs memphis grizzlies,oklahoma city thunder
Western First Round,houston rockets vs golden state warriors,houston rockets
Western First Round,los angeles lakers vs minnesota timberwolves,los angeles lakers
Western First Round,denver nuggets vs los angeles clippers,denver nuggets
Western Semifinals,oklahoma city thunder vs houston rockets,oklahoma city thunder
Western Semifinals,los angeles lakers vs denver nuggets,los angeles lakers
Western Finals,oklahoma city thunder vs los angeles lakers,oklahoma city thunder
NBA Finals,cleveland cavaliers vs oklahoma city thunder,cleveland cavaliers
